#name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
trpos2840.txt_allergen_93,-0.8062,-2.1812,-1.275,-1.4438,-2.7562,-1.5312,-0.875,-1.6375,-1.0875,-1.225,-1.675,-0.7312,-1.5375,-2.0187,-2.025,-0.7688,-0.6375,-3.2687,-1.8375,-0.9875,8,5.7736,11.1321,16.2075,8.6604,6.2956,17.8365,14.6604,15.0755,18.0881,10.9497,19.2579,7.9623,17.8553,12.4088,7.8931,7.9686,9.1572,16.8742,14.0755
trpos2840.txt_allergen_1025,0.0417,-1.6667,-1.4,-2.5583,-1.8667,-1.7,-2.3667,-1.6417,-2.7083,-1.6,-1.525,-1.425,-1.175,-2.8167,-1.8333,-0.5333,-0.7333,-3.8333,-2.6833,-0.9083,8.6723,14.7395,18.5126,11.5378,31.1681,9.8403,7.3782,17.9664,8.916,18.3193,16.2941,15.7983,9.6891,9.8908,16.4706,12.084,8.1513,3.605,9.5294,15.1261
trpos2840.txt_allergen_3152,-0.8354,-1.6402,-0.8841,-1.9634,-2.4512,-1.0549,-1.6524,-1.9817,-1.4451,-1.8659,-1.9085,-1.1341,-1.5183,-1.9268,-1.8659,-0.628,-1.1768,-2.5549,-1.1707,-1.3902,9.908,9.3129,19.0368,12.4969,21.0184,12.8098,10.8037,17.8405,16.2209,13.9632,9.2945,9.4724,12.7914,13.1656,13.8405,8.3558,7.7117,27.2638,21.411,14.411
trpos2840.txt_allergen_2406,-1.5445,-1.4418,-1.7979,-1.9555,-1.9349,-1.4007,-1.4623,-2.6781,-1.3973,-1.3185,-1.2021,-1.0548,-0.9418,-1.8288,-2.6473,-1.339,-1.4247,-3.3699,-1.7363,-1.4075,8.0653,15.7182,13.7423,19.8729,14.9244,11.8282,18.2234,16.7491,16.1718,22.0653,21.0928,16.3265,15.0172,19.1546,14.3368,8.6117,8.1443,15.7491,17.8969,15.6735
trpos2840.txt_allergen_3270,-0.3448,-1.569,-1.0948,-1.7716,-1.7802,-1.1853,-1.6724,-1.0302,-1.5948,-1.6724,-1.7931,-1.3276,-1.5388,-1.8922,-1.5172,-0.3707,-0.4741,-2.5819,-1.7629,-1.2371,7.5195,9.3506,13.1126,13.4675,22.0173,8.8442,7.7922,15.974,8.7359,9.381,8.7359,7.1515,5.2294,17.1558,16.1515,8.8139,11.0087,12.7359,12.4329,8.7489
trpos2840.txt_allergen_2992,-0.4484,-1.4953,-0.7469,-1.1313,-2.3391,-0.9922,-1.1797,-1.3578,-1.6234,-1.2719,-1.4344,-1.0891,-1.4,-1.6156,-1.6547,-0.1891,-0.3375,-2.3188,-1.0984,-1.0266,6.9562,7.5055,12.6228,14.1393,7.3036,8.1095,7.9249,13.1768,7.8232,11.7371,10.2551,7.216,6.0892,14.2254,12.6416,8.8013,8.8216,18.1127,14.3787,9.2692
trpos2840.txt_allergen_499,-0.8208,-1.3962,-0.9088,-1.1305,-2.6164,-0.9119,-1.0566,-1.5425,-1.3019,-1.4638,-1.3459,-1.0346,-1.3318,-1.4701,-1.6635,-0.5519,-0.5959,-2.3129,-1.1619,-1.1352,6.3669,9.2614,10.6268,13.3276,7.2614,8.0252,9.0031,12.9276,12.0173,12.0472,10.8976,8.1827,8.0252,14.6961,15.2472,7.8661,7.7039,20.0252,13.9213,10.7244
trpos2840.txt_allergen_3177,-0.5057,-1.6502,-1.3688,-1.9886,-2.4943,-1.4297,-1.9202,-1.2966,-1.9848,-1.8365,-1.8213,-1.4639,-1.5361,-2.0837,-2.057,-0.6882,-0.8289,-2.924,-1.8897,-1.3232,10.5153,13.4962,15.5458,14.1832,15.958,12.2366,9.5725,19.6412,10.916,13.042,11.0954,12.5496,11.6374,18.1679,13.3168,10.2557,10.3931,22.2137,16.9924,13.7023
trpos2840.txt_allergen_876,-0.3982,-1.5619,-1.0487,-1.7743,-1.8761,-1.2168,-1.7124,-1.1681,-1.6726,-1.8142,-1.8363,-1.3717,-1.5841,-1.854,-1.5752,-0.4823,-0.5,-2.7035,-1.7699,-1.3407,7.7378,10.92,14.7733,14.2178,24.2844,8.8311,8.0933,14.9689,8.4578,9.3111,9.0044,7.8667,5.5067,18.4756,17.2222,8.4978,11.0178,12.92,13.9333,8.0711
trpos2840.txt_allergen_409,-0.4022,-1.162,-0.7207,-0.9609,-1.3296,-0.6536,-0.743,-1.0726,-1.1899,-1.3911,-1.4581,-0.8492,-0.8994,-1.7318,-1.3464,-0.1453,-0.6313,-2.3855,-1.3352,-1.0335,3.5225,6.7753,8.2528,10.5169,12.7978,6.2865,7.8427,13.0618,7.264,9.4831,7.0955,5.3596,4.3933,7.618,9.736,5.9213,2.8539,6.9831,9.9831,8.4831
