#name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200
positive42-2.txt_sp|Q6UWW0|LCN15_HUMAN,0.2372,0.1962,1.012,1.5738,1.0134,0.1028,0.6926,0.6105,0.6978,0.5665,0.8903,0.2432,1.282,1.0572,1.7789,-0.5258,-0.7428,0.6923,1.0906,0.867,0.1478,0.4905,0.6853,1.6887,0.6554,1.0537,0.4835,0.4003,0.7303,0.8424,1.0461,0.8702,0.7775,1.332,1.3391,0.5258,1.0313,0.5267,0.2918,0.6625,-0.218,0.0974,-0.5784,-0.3834,0.2028,0.3525,0.7931,-0.2629,0.3765,0.2052,-0.4354,-0.3884,-0.2531,0.9374,0.3781,-0.1737,-0.564,-0.8274,1.0182,0.8096,-0.0713,0.8874,-0.6845,-0.2892,0.8054,0.6826,0.6522,0.095,0.9715,-0.3146,0.4083,0.7456,0.7463,-1.387,0.7683,-0.1237,0.4704,0.9023,1.2234,-0.4692,-0.0459,-0.5082,0.0856,-0.4291,-0.2453,-0.6659,0.516,-0.9406,0.0931,-1.344,-0.6166,-0.2275,-1.2842,-0.3973,0.2535,-0.0183,-0.7892,0.0995,-0.6624,-0.2649,-0.2869,0.4049,-0.1304,-1.283,-0.0823,1.1227,0.1271,-0.1442,0.7413,-0.4457,0.3469,0.9125,-0.6614,-0.2882,0.5062,0.0441,0.1544,0.2776,-0.2774,-0.9749,0.1388,0.0514,-0.5706,-1.0654,0.3271,0.389,0.5135,-0.6398,-0.0726,-0.8017,-0.6522,-0.1703,-0.7845,-1.5758,0.0195,-0.4481,0.0177,0.7798,-0.779,-0.5572,0.0117,-0.1609,0.204,-0.7797,-0.0794,0.1007,-0.7523,-0.1565,-0.4781,-0.215,0.2682,0.2837,-0.5091,-1.5704,-0.6809,0.0039,-0.0695,0.6513,-0.7688,-0.5527,0.4907,0.1304,-0.2417,-0.9493,-0.7263,-0.2371,-0.5232,0.2074,0.1401,-0.5326,-0.1876,0.4941,-0.3767,-1.2188,-1.5299,-0.0476,0.1525,-0.3416,-0.2581,-0.842,-0.3898,0.3146,0.2388,0.0362,0.0896,0.0203,0.2881,-0.1807,0.1825,0.8301,0.9989,0.0934,-0.3331,0.4456,-0.6788,-0.1108,0.0585,-0.6676,0.1345,0.0612
positive42-2.txt_gi|8134622|sp|O97921.1|PTGDS_HORSE,0.6818,0.1605,0.7706,1.5322,1.4314,0.2669,1.1156,0.592,-0.0371,0.2855,0.6187,0.1876,-0.1549,1.0039,1.981,0.0879,-0.7137,0.5768,1.232,0.8482,0.5908,0.5737,0.869,1.8592,1.2301,0.8383,0.6054,0.5931,0.8948,0.4426,1.2179,0.9436,0.976,0.646,1.3563,0.3329,0.8094,1.2043,0.4167,0.4456,0.2475,-0.3898,0.4358,0.4016,0.2048,0.2211,0.62,0.1452,0.3519,-0.177,0.0172,-0.1501,-0.3832,0.6772,0.8163,0.0153,-0.487,0.1729,1.4771,0.5102,0.2075,1.1482,-0.4528,0.3708,0.7368,0.8974,0.8571,-0.3179,0.4185,-0.2768,0.1684,0.6006,-0.1211,-0.873,0.7786,-0.2163,0.0692,0.9719,1.5065,-0.5403,-0.115,-0.2111,0.239,0.3316,-0.0688,-0.2846,0.9328,-0.8435,-0.2443,-0.9949,0.0053,0.0662,-0.435,-0.3023,-0.0317,0.0733,-0.732,0.2825,0.0223,-0.1671,-0.2808,0.4465,-0.1931,-1.0673,0.2176,0.8066,0.375,-0.3348,0.4074,-0.187,0.3365,1.1296,0.1674,-0.8794,-0.4229,-0.0112,0.0438,0.2825,-0.3958,-0.9391,0.28,-0.1099,-0.1421,-0.3098,0.555,0.1639,0.6053,-0.1622,-0.0298,-0.9016,0.3412,0.1676,-0.2832,-1.6476,0.1144,-0.2249,-0.1594,0.0905,0.1944,-0.5484,0.1157,-0.2057,0.6339,-0.7695,0.3016,-0.1384,-0.9013,-0.2613,0.4413,-0.7602,-0.0866,0.5235,0.0997,-0.6927,0.2735,0.1451,-0.1648,0.0153,-1.1568,-0.574,0.679,-0.0341,-0.2005,-0.1751,-0.3353,-0.4154,0.1976,-0.0817,-0.1681,-0.3631,-0.0547,0.4505,-0.8892,-1.322,-1.017,-0.2646,0.717,-0.0506,0.3734,-0.3227,-0.0404,0.277,-0.073,-0.1963,0.4444,-0.1434,0.4538,-0.1651,-0.4123,0.6326,0.725,0.2281,-0.5706,0.6833,-0.7475,-0.1679,0.1535,-0.1462,0.499,-0.1298
positive42-2.txt_gi|121957959|sp|Q3SZR3.1|A1AG_BOVIN,0.0392,0.3533,-0.2218,-0.1269,0.1877,0.9071,0.9826,0.1273,0.0109,0.6273,0.6724,1.2792,0.3076,1.8444,0.0607,-0.2903,-0.1189,0.1028,0.8277,0.255,-0.1894,0.0106,0.1478,0.1118,0.0624,0.8295,0.8899,-0.548,-0.648,0.0795,0.3788,0.2968,0.4943,0.5947,-0.1486,-0.2889,-0.285,0.1172,-0.46,0.0769,-0.2156,0.2631,-0.5928,0.0827,0.0866,1.1898,0.8299,-0.5383,-0.0306,0.2467,0.7138,0.6122,0.1802,0.7572,0.2618,-0.2373,0.1925,-0.3583,0.2315,0.671,-0.0854,-0.4724,0.197,0.3008,0.2828,0.0202,0.3625,0.0354,-0.4193,0.1712,0.2385,0.3317,0.2165,-0.3515,0.1531,-0.3609,-0.3731,-0.1011,-0.3217,0.3527,0.0661,0.4198,0.554,-0.598,0.0139,0.6864,0.1977,0.3561,-0.0381,0.2386,-0.1278,0.148,0.3596,-0.111,-0.3441,0.1396,0.2179,0.8148,-0.2836,-0.0999,0.363,-0.2319,-0.3395,-0.0897,-0.3623,-0.0283,0.1439,0.1945,0.1021,0.3399,0.1021,-0.5871,0.2185,0.0707,-0.351,-0.1354,0.1982,0.532,-0.0215,0.0958,0.0672,-0.1261,0.1689,-0.1089,-0.0885,0.0633,1.0414,0.1201,0.3976,0.613,0.3133,-0.1247,-0.0933,-0.3559,0.4979,0.2411,-0.3259,0.0874,-0.3824,0.0457,-0.3649,-0.0475,0.3663,0.2016,-0.397,0.1661,0.3062,-0.2299,0.0828,0.4255,-0.0101,0.2625,0.169,-1.2277,-0.046,-0.0444,0.3906,-0.4752,-1.046,0.1987,0.0062,0.5908,-0.0965,-0.8124,-0.0013,-0.0063,-0.2514,-0.1044,0.0134,-0.4017,0.1968,1.004,-0.105,-0.409,-0.2177,0.0629,-0.0016,-0.484,0.0369,-0.1709,0.0946,0.3333,0.2388,-0.4561,0.0495,-0.0381,0.2198,0.4279,0.1271,0.4603,0.5941,0.4539,0.3422,-0.0323,0.479,0.0713,0.0953,-0.3158,0.0457,0.1293
positive42-2.txt_BAG12758.1|,0.6444,-0.2274,0.6368,0.7691,0.8346,-0.2328,0.0972,1.4022,0.1048,0.8762,1.0612,0.234,0.8325,-0.4008,1.4104,-0.2744,0.0462,1.8297,-0.3539,0.8507,0.6413,0.6727,0.7687,1.1002,1.9079,0.5218,0.0619,0.3953,0.0174,0.1801,0.4595,0.6541,0.3403,-0.3214,3.0593,-0.0882,0.3944,0.5644,0.1635,-0.221,0.1887,0.1458,0.5478,-0.2652,0.3085,-0.1631,0.5074,0.9338,0.6078,0.1612,0.2696,-0.0619,0.0415,0.4004,1.2892,0.1171,-0.0463,-0.8309,0.1559,0.0394,0.2451,-0.1615,0.1907,-0.3941,0.7152,0.7017,0.6869,0.616,0.5192,0.2178,0.9559,1.0435,0.0686,0.0229,1.6356,0.0945,0.2019,-0.3085,0.8904,-0.5891,0.0384,-0.1049,0.6225,-0.4107,0.2071,0.022,0.3955,-0.2237,0.086,-0.5369,0.6041,-0.3774,-0.2684,1.5266,-0.2427,-0.2373,-0.0829,-0.9168,1.3954,-0.1298,0.2058,0.1419,0.5283,-0.5268,0.4713,-0.0078,-0.5001,0.3607,0.2305,-0.2787,0.6471,0.4511,0.112,-0.927,-0.1719,0.1097,0.0695,-0.229,-1.0173,0.3027,0.5484,-0.0746,-0.0024,-0.6779,-0.2162,0.1658,-0.0692,-0.3058,0.3352,-0.183,0.152,0.2052,-0.5057,0.4812,-1.0741,-0.2688,-0.3028,0.2781,0.6222,-0.4863,-0.0304,0.3,0.3034,-0.8938,-0.2231,-0.2699,-0.291,0.2575,-0.4374,-0.0902,0.5048,-0.0963,-0.023,-0.8546,-0.696,-0.0078,-0.185,1.0537,-0.4622,-0.4836,0.0282,0.4237,0.3429,0.7109,-0.0238,0.1672,-0.5038,-0.092,0.3692,-0.301,0.3106,0.6319,0.4277,-0.2496,-1.7783,-0.3717,0.0141,0.6355,0.4749,-0.1415,0.0395,-0.1671,-0.1382,0.2207,-1.0706,-0.3679,0.6038,-0.9636,1.0283,-0.3611,0.2807,-0.6708,0.3268,0.2369,-1.4748,0.2653,-0.1382,0.1703,-0.0728,-0.3432
positive42-2.txt_BAB51309.1|,-0.227,-0.3392,-0.4537,0.4696,-0.233,-0.033,-0.0225,1.0151,-0.3066,0.3076,-0.3398,0.3068,-0.3483,-0.305,2.0419,-0.2974,-0.323,0.3981,-1.088,0.6537,0.1632,0.3648,0.6075,0.9936,0.9196,0.4751,1.0491,0.2856,-0.2187,-0.3302,-0.5613,0.3947,-0.6882,-0.3439,1.691,0.0816,0.4294,-0.0954,-0.3167,-0.2095,-0.175,0.1059,-0.6084,-0.82,-0.2932,-0.4,0.0823,-0.3502,0.0093,-0.1139,-0.4939,-0.5073,0.176,-0.6722,0.6807,-0.1852,-0.2565,-0.4334,-1.0322,-0.776,-0.2989,0.0477,0.8672,0.1002,0.7568,0.1397,0.0769,-0.0223,0.2264,-0.8113,-0.3358,0.4542,0.1132,0.3422,0.4817,0.1596,0.1115,0.4096,0.801,-0.9465,0.003,-0.4606,-1.0126,-1.4072,-0.2637,0.0112,0.066,-0.0547,-0.4245,-0.8312,-0.5463,-0.4684,0.1231,0.1658,1.1105,-0.7876,0.8993,-0.3018,0.6922,-0.4258,-0.2178,0.1271,0.2316,-1.5329,0.412,0.0508,-0.1202,-0.2147,0.1619,-0.1368,0.1922,0.3855,0.0155,0.1371,-0.0672,0.5068,-0.0908,0.4321,-0.0538,0.09,-0.0433,-0.4603,0.6044,-0.8054,0.111,-0.3523,-0.4389,0.0224,0.76,0.202,0.099,0.1943,-0.0953,0.4119,-0.2497,-0.1465,0.0102,0.4753,-0.1144,-0.3626,-0.2036,0.0258,-0.9398,0.3509,0.1951,0.0743,0.1302,0.0268,-0.5526,0.2075,0.1186,0.4118,0.037,-0.4729,-0.7543,-0.314,-0.7884,0.6937,0.195,0.5601,0.0771,0.8186,-0.3305,-0.3932,-0.2599,-0.0402,-0.2077,0.1346,0.0931,0.0517,0.1667,-0.0301,0.6535,-0.8248,-0.8395,-0.8164,0.7263,0.4375,0.3248,-0.362,0.2972,-0.4395,-0.1824,0.743,-0.7955,0.4451,0.8955,0.2077,-0.1692,0.1432,0.0766,0.0457,-0.1794,1.0996,-0.5631,0.4941,0.3069,-0.0152,1.3893,-0.5642
positive42-2.txt_NP_644257.1|,0.0765,-0.1922,-0.3696,0.486,0.7934,0.1224,0.5263,0.8364,-0.2174,0.3291,-0.3187,-0.1137,-0.1029,-0.1118,1.9472,-0.3458,-0.9079,0.5549,0.2935,0.4738,0.139,0.1196,0.2461,0.5262,-0.3924,-0.3802,0.0043,0.1415,-0.3374,-0.5247,-0.4745,0.4809,-0.2146,-0.3438,3.0333,0.1017,0.4055,0.0674,0.3507,-0.1177,-0.0526,-0.2708,-0.291,-0.7831,0.1976,-0.5297,-0.3032,0.2027,-0.1648,-0.5753,-0.2167,-0.4878,-0.1815,-0.216,1.5376,-0.415,-0.2256,0.2466,-0.193,-0.6601,-0.1311,0.2141,0.663,-1.0487,1.8355,0.4598,0.0166,0.1208,0.454,-0.6448,-0.2678,0.4104,0.0309,-0.375,0.9925,0.5266,0.8599,0.1222,0.6495,-0.9353,0.1404,-0.6522,-0.3109,-0.4326,0.1915,-0.0801,0.7731,0.1879,-0.0782,-0.5828,-0.7179,-0.5096,3.00E-04,0.5086,0.7414,-0.1345,0.591,-0.4129,1.7666,-0.2168,-0.1829,0.2404,-0.24,-2.1212,-0.6608,-0.1003,-0.9318,-0.314,-0.4292,-0.5742,-0.5115,0.4265,-0.3456,-0.6761,-0.0209,0.0225,-0.3984,0.5078,-0.0772,0.1393,0.6528,-0.167,0.2475,-0.8387,-0.3602,0.5921,-0.3359,0.4088,0.8311,0.4856,0.2189,0.2487,-0.0337,0.3507,-0.2717,0.6286,0.5838,0.4388,0.7619,-0.0444,0.1269,-0.4344,-0.5307,0.2324,-0.1772,0.0762,-0.4676,0.4451,-0.2221,-0.0789,0.132,0.1568,0.2443,-0.7433,0.0728,-0.1215,-0.3466,0.0038,-0.987,0.0411,0.1394,0.285,-0.2212,0.0506,-0.1284,-0.1734,0.1555,0.2154,0.193,-0.1094,0.5708,0.5095,0.8163,-0.1463,0.2284,-0.7103,0.3657,1.8669,0.5482,-0.4367,0.1516,0.6617,0.5778,0.3417,-0.0449,0.1788,0.6934,-0.1609,0.0556,0.1517,0.52,0.1181,0.6121,0.6119,0.2043,0.1392,0.5496,-0.5363,1.1152,0.1776
positive42-2.txt_ZP_01913758.1|,0.2958,0.3311,0.1392,0.2395,1.4002,-0.031,-0.0711,1.3484,0.0468,0.1618,0.2785,0.2354,-0.1854,-1.3071,2.3651,-0.1058,-0.3516,0.1911,-1.3805,0.6234,0.2444,-0.1137,0.6567,1.5238,0.2444,0.1171,0.6028,0.352,-0.3744,0.052,0.1221,0.0553,0.2717,-0.767,1.2297,-0.3885,0.5982,-0.0102,0.2677,0.0992,0.1991,-0.461,-0.4023,-0.7276,1.3961,0.3743,0.164,-0.5716,0.6077,0.1491,0.5973,-0.221,0.3545,0.2287,1.0032,-0.2517,-0.3916,1.6192,-0.0465,0.0481,0.3533,0.0492,-0.0405,-0.1385,1.8413,0.0531,0.0871,-0.1778,-0.1011,-0.8096,0.2683,0.3154,-0.2761,0.5419,0.9722,0.518,0.5298,0.1848,0.2003,-0.838,-0.027,-0.9109,-0.0838,-0.2979,0.4145,0.4389,0.6971,-0.1352,-0.4593,-0.8615,0.0309,-0.1904,-0.2041,0.8277,0.3345,0.2082,0.0347,-0.3978,0.5498,-0.3223,0.3164,-0.1545,-0.2547,-0.5695,0.1738,-0.07,-0.4185,0.0081,-0.3488,-0.4585,0.2795,0.5408,0.3631,-0.366,-0.6699,-0.0979,0.0473,0.1054,-0.3531,0.6251,0.4852,-0.3145,0.0228,-0.2694,0.4107,0.508,0.2472,0.4439,0.5099,0.1212,0.4496,0.5083,0.0766,0.0627,-0.427,0.262,0.0808,0.2671,1.3927,0.0182,-0.3691,0.0096,-0.6026,0.9437,-0.2475,0.1048,-0.23,0.2256,-0.1425,0.1596,0.7238,0.2531,0.3311,-0.3691,-0.1996,-0.0713,-0.5575,-0.1181,-0.5234,-0.2091,0.2205,-0.3294,0.2861,0.1853,-0.4107,-0.1855,0.5129,-0.0162,0.1519,0.4114,0.529,0.0451,-0.0032,-0.2193,-0.6269,-0.5125,0.2065,1.1394,-0.5865,-0.1037,-0.0738,0.3602,0.5374,0.8329,0.9677,0.2157,0.4353,-0.2645,0.0761,0.4879,0.1675,0.1484,-0.2483,0.6335,-0.2353,0.0767,0.0843,-0.2976,0.8669,0.3064
positive42-2.txt_XP_001870653.1|,-0.1397,-0.2061,-1.1031,-0.5102,0.2206,-0.0589,-0.2673,0.073,0.0647,0.1363,-0.2553,-0.3969,0.1067,-0.5414,0.2148,-0.1387,-0.2085,-0.0151,0.4962,-0.1022,-0.1029,-0.3248,-0.0174,0.6807,0.5864,0.0794,0.196,-0.406,-0.3935,-0.8353,-0.8029,0.1891,-0.367,-0.1503,-0.2725,-0.0675,0.1447,0.4058,0.1536,-0.6392,0.0676,0.1493,-0.7213,-0.1792,0.086,-0.002,0.1068,-0.2397,0.4242,-0.1389,-0.2855,0.0379,-0.3205,0.2304,0.6749,-0.2365,0.0209,-0.0238,0.1006,-0.0155,0.0267,-0.2642,-0.1678,-0.5641,-0.1244,-0.2614,-0.347,0.2976,-0.2758,-0.246,0.1543,-0.1435,-0.437,-0.2672,-0.0817,0.0784,0.1636,-0.0502,-0.1652,-0.184,-0.0225,0.3101,0.545,0.0118,-0.0518,0.0103,-0.1206,-0.4195,-0.1927,-0.1581,-0.2126,-0.0194,-0.2158,-0.1624,0.3424,0.0748,-0.1662,-0.1119,-0.0736,-0.2289,0.0395,0.0744,0.065,-0.5836,0.0227,-0.2432,-0.1975,0.2556,0.0421,0.3903,-0.0576,0.0523,0.0897,-0.0242,0.108,0.2167,-0.2639,-0.0525,-0.5714,-0.1328,0.0059,-0.0531,0.1593,-0.42,-0.0256,-0.1757,-0.3344,0.4706,-0.1053,-0.0176,-0.1469,-0.5114,0.0179,-0.4109,-0.6017,0.1682,-0.0098,-0.0728,0.1776,-0.0595,0.0165,-0.4378,-0.8333,-0.1472,-0.2304,-0.4831,-0.3747,-0.1646,0.023,-0.1925,0.1655,-0.5177,0.2274,-0.6612,0.1794,-0.4396,-0.0716,-0.5157,-0.5971,-0.0494,-0.0014,-0.2034,0.2895,-0.2744,-0.0643,-0.0338,-0.127,-0.6414,0.5408,-0.49,0.0466,-0.038,-0.1209,-0.0771,-0.649,-0.1192,0.1253,1.1262,0.4578,-0.147,-0.0195,0.0465,0.0893,0.5481,-0.3747,0.4218,0.45,-0.1474,0.1325,-0.0744,-0.1339,0.318,-0.1917,0.7399,-0.4197,-0.0321,-0.0724,0.1198,0.4262,-0.3105
positive42-2.txt_sp|P11590|MUP4_MOUSE,0.4091,0.2542,1.5385,1.9158,0.6146,0.2413,1.24,0.3795,0.5937,0.5215,0.9901,0.6491,0.6092,1.6129,1.9886,-0.3569,-0.6456,-0.0109,1.8409,0.6986,0.4724,0.7548,0.727,1.6583,0.3351,0.9242,0.2663,0.386,0.8144,0.654,2.0196,0.5071,1.546,0.58,1.9231,0.732,1.0175,0.5937,0.6332,0.8905,-0.1094,0.1624,-0.1475,0.1954,0.0238,0.8596,1.1018,-0.4253,0.7298,0.3584,-0.1891,0.1313,-0.2616,0.4406,0.4044,-0.3436,-0.5878,0.0524,1.2655,0.5134,0.0271,0.6149,-0.8826,0.0029,-0.1401,0.4686,0.7113,-0.2911,0.3808,-1.0291,0.401,0.4983,0.7156,-1.6705,1.3983,-0.2131,0.534,0.015,1.4355,-0.76,-0.4213,-0.2472,0.5506,-0.726,-0.1498,0.1235,0.1541,-0.929,0.4512,-0.8526,-0.7101,0.149,-0.9059,-1.2242,0.0623,-0.2195,-0.8309,0.2372,-0.6526,-0.0756,-0.552,0.6967,-0.0646,-0.7858,-0.5337,0.8251,0.6564,-0.3975,0.231,-0.4045,0.2583,0.7659,-0.4136,-0.6218,-0.0212,-0.2376,-0.1568,0.2529,-0.6813,-0.814,0.0423,-0.3019,-0.1349,-0.6013,0.4659,0.3679,0.5126,-0.6317,-0.5741,-0.6179,-0.1633,0.3017,0.0175,-2.3478,-0.3034,-0.1574,-0.073,0.3402,-0.5682,-0.8363,0.1631,0.0899,0.1363,-1.1599,-0.6392,-0.8783,-1.6763,-0.094,-0.2341,-0.2782,-0.2466,0.2701,-0.0655,-1.6065,-0.311,0.1531,0.2942,-0.0316,-1.0632,-0.4066,0.2703,0.579,0.2663,-0.3426,-0.7764,-0.4874,-0.4456,-0.4534,0.274,-0.3057,-0.0308,0.3123,-0.7104,-0.554,-0.8291,-0.0999,0.2354,-0.5263,0.0992,-0.663,-0.2608,0.4587,0.0586,-0.1379,-0.048,-0.2856,0.5932,0.5757,-0.399,0.7108,0.1667,0.0894,0.4743,-0.2418,-0.7214,0.2682,0.011,-1.0015,0.7469,0.6183
positive42-2.txt_sp|P02760|AMBP_HUMAN,0.1836,-0.1096,1.1372,1.3339,0.2144,0.0362,1.2326,0.8269,0.4136,0.7512,1.5445,0.4838,0.0707,1.2862,1.9051,0.1479,-0.1004,1.2808,1.1415,0.9496,0.289,0.3632,1.2788,1.4057,0.5243,0.6006,0.5898,0.714,0.0081,0.9206,1.3837,0.3115,0.4201,1.257,1.9096,0.0953,0.7569,0.294,0.9654,0.591,0.0231,-0.2972,0.4449,0.4521,0.4878,0.5491,1.1278,0.6551,0.6744,0.5066,0.5972,0.2268,0.72,0.4529,0.8303,-0.0904,-0.1438,0.289,-0.1859,0.5103,0.1848,0.2705,-0.1088,0.1471,0.7366,0.1564,0.8362,0.2845,0.5054,0.4809,0.8082,0.3221,-0.0103,-0.2351,0.3972,-0.0864,-0.1063,0.3425,1.3027,0.295,0.0308,0.3085,0.1038,-0.2251,-0.9335,-0.3607,-0.1348,-0.6274,0.5759,-0.0905,0.002,-0.1233,-0.7618,-0.0341,0.5524,0.1689,-0.2518,-0.0122,-0.1809,0.0496,-0.0277,-0.2276,-0.7078,-0.6592,0.6668,0.0552,-0.0022,-0.5113,0.2116,-0.3829,0.7881,-0.0814,-0.0638,-0.4653,0.9216,-0.0488,-0.2461,-0.1997,0.0254,0.0503,0.3862,0.3084,0.047,-0.0866,0.3849,0.0803,0.9872,-1.1581,-0.6605,-0.1273,0.1213,0.0637,-0.4459,-1.0935,0.756,0.2631,0.3714,-0.2365,-0.9401,0.3718,0.0559,0.0304,-0.7753,-0.7229,1.1995,-0.391,0.162,-0.7183,-0.2646,-0.3295,0.1889,0.1443,-0.0791,-0.4339,1.0262,-0.1868,-0.1131,-0.1265,-0.3084,-0.0286,0.2999,0.4741,-0.2327,-0.3792,0.3594,-0.0389,-0.2218,-1.0849,0.3641,-0.2414,0.1743,0.2697,-0.2296,-1.5769,-0.4783,0.1114,0.1884,-0.3976,-0.3058,0.0904,0.1166,-0.2404,-0.1951,0.0887,0.0305,0.2599,0.8109,-0.4685,0.5475,0.3424,0.5719,0.1364,0.1793,0.5044,0.137,0.2243,-0.1332,-0.2644,0.4464,0.028
