#name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1-212.txt_1,19.441,10.653,6.742,5.673,5.137,5.032,4.565,4.214,4.021,3.904,3.64,3.502,3.347,3.174,3.029,2.845,2.783,2.473,2.373,2.294
1-212.txt_3,17.618,9.938,6.204,5,4.317,3.71,3.168,2.493,2.294,2.218,2.129,1.688,1.422,1.123,1.015,0.879,0.831,0.732,0.707,0.478
1-212.txt_5,19.735,10.053,6.599,5.979,5.403,4.888,4.664,4.393,4.183,3.941,3.749,3.711,3.61,3.476,3.163,3.117,2.847,2.719,2.497,2.454
1-212.txt_7,18.132,10.208,6.256,5.817,4.828,4.671,4.041,3.606,3.208,2.824,2.721,2.666,2.5,2.362,2.347,2.247,2.164,1.97,1.849,1.627
1-212.txt_9,20.296,11.233,6.715,6.023,5.002,4.474,4.257,3.976,3.811,3.667,3.552,3.335,2.903,2.874,2.791,2.551,2.49,2.377,2.198,1.937
1-212.txt_11,23.391,14.372,8.078,6.59,4.894,3.773,3.035,2.618,2.459,1.756,1.41,1.335,1.144,0.792,0.621,0.456,0.363,0.322,0.184,0.007
1-212.txt_13,19.406,11.43,6.185,5.985,4.711,4.637,4.285,4.053,3.829,3.637,3.378,3.238,3.137,2.956,2.735,2.671,2.442,2.255,2.058,1.946
1-212.txt_15,20.501,11.127,6.425,5.791,4.817,4.808,4.437,4.298,4.126,3.875,3.629,3.475,3.204,3.125,3,2.827,2.73,2.55,2.503,2.093
1-212.txt_17,20.298,10.482,6.755,5.777,5.39,5.105,4.898,4.514,4.098,4.028,3.847,3.687,3.452,3.334,3.185,3.017,3.009,2.903,2.676,2.45
1-212.txt_19,20.755,10.729,7.154,6.168,5.273,5.167,4.971,4.669,4.449,4.042,3.881,3.714,3.506,3.427,3.304,3.047,2.974,2.675,2.589,2.465
1-212.txt_21,20.354,12.256,7.226,5.781,4.104,3.42,2.809,2.606,2.035,1.829,1.195,0.989,0.937,0.706,0.554,0.367,0.307,0.243,0.155,0.005
1-212.txt_23,19.367,11.525,6.799,5.511,3.866,2.878,2.695,2.049,1.823,1.496,1.17,0.98,0.941,0.641,0.492,0.364,0.278,0.235,0.121,0
1-212.txt_25,19.467,10.693,6.602,5.751,5.241,4.75,4.585,4.22,4.061,3.901,3.647,3.563,3.321,3.29,2.976,2.811,2.705,2.617,2.447,2.26
1-212.txt_27,26.043,15.793,9.9,7.098,5.452,4.457,3.735,3.226,2.587,2.183,1.451,1.279,1.144,0.832,0.668,0.516,0.389,0.319,0.207,0.007
1-212.txt_29,26.188,14.601,8.443,7.287,6.168,5.736,4.938,4.639,4.046,3.865,3.531,3.458,3.224,3.045,2.828,2.722,2.575,2.529,2.381,2.059
1-212.txt_31,13.377,8.58,5.776,3.947,3.181,2.289,2.242,2.126,1.648,1.29,0.879,0.84,0.498,0.408,0.317,0.241,0.227,0.179,0.012,0.009
1-212.txt_33,18.94,10.88,6.285,5.677,5.008,4.414,4.316,4.185,4.015,3.906,3.449,3.229,3.13,3.027,2.813,2.715,2.544,2.512,2.211,1.952
1-212.txt_35,19.803,11.989,7.323,5.599,4.311,3.099,2.728,2.552,1.794,1.319,1.243,0.983,0.766,0.705,0.432,0.414,0.346,0.27,0.017,0.015
1-212.txt_37,19.774,11.302,7.175,5.67,5.066,4.93,4.553,4.387,3.774,3.644,3.285,3.17,2.987,2.863,2.604,2.457,2.31,2.056,2.023,1.878
1-212.txt_39,16.371,10.141,6.323,5.392,4.267,3.769,3.578,3.339,3.04,2.751,2.616,2.44,2.347,2.268,2.111,1.913,1.824,1.765,1.658,1.496
1-212.txt_41,18.395,10.902,7.135,5.567,4.074,3.203,2.721,2.464,1.874,1.526,1.126,0.968,0.873,0.588,0.453,0.349,0.281,0.23,0.125,0.071
1-212.txt_43,20.993,11.284,6.36,5.899,4.72,4.531,4.48,4.335,4.167,3.894,3.662,3.525,3.225,3.059,3.031,2.9,2.691,2.644,2.619,2.284
1-212.txt_45,19.979,10.245,6.91,6.201,5.15,5.088,4.605,4.389,4.123,4.038,3.665,3.62,3.481,3.327,3.035,2.904,2.813,2.58,2.465,2.336
1-212.txt_47,20.205,11.173,6.454,5.581,4.916,4.67,4.593,4.319,4.131,3.816,3.561,3.332,3.186,3.133,2.963,2.771,2.682,2.427,2.307,2.067
1-212.txt_49,19.134,12.148,7.169,5.785,4.247,2.903,2.758,2.516,2.271,1.778,1.31,0.989,0.846,0.724,0.407,0.384,0.278,0.274,0.093,0.003
1-212.txt_51,19.197,9.978,6.77,5.987,5.073,4.893,4.544,4.313,4.287,3.936,3.84,3.607,3.527,3.359,3.256,2.985,2.889,2.806,2.689,2.382
1-212.txt_53,18.299,10.049,6.065,5.086,4.125,3.84,3.014,2.637,2.295,2.258,2.052,1.727,1.347,1.061,0.927,0.886,0.804,0.757,0.635,0.546
1-212.txt_55,19.775,10.75,7.108,5.436,3.606,3.405,2.748,2.277,1.947,1.66,1.26,0.957,0.792,0.569,0.396,0.373,0.23,0.201,0.139,0.016
1-212.txt_57,18.459,12.496,6.946,5.707,3.947,3.037,2.703,2.557,2.039,1.785,1.482,1.051,0.812,0.652,0.473,0.407,0.344,0.232,0.018,0.014
1-212.txt_59,19.63,10.997,6.526,5.969,5.331,5.101,4.958,4.772,4.281,3.962,3.644,3.461,3.357,3.177,2.988,2.927,2.87,2.643,2.536,2.353
1-212.txt_61,21.556,11.731,6.927,6.256,5.558,5.171,4.619,4.453,4.141,3.922,3.506,3.439,3.176,2.996,2.941,2.765,2.75,2.519,2.401,2.045
1-212.txt_63,20.523,10.522,6.619,5.547,4.953,4.342,3.175,2.753,2.61,2.44,2.243,2.009,1.838,1.826,1.599,1.484,1.338,1.15,0.985,0.885
1-212.txt_65,18.087,10.433,6.456,5.057,4.27,3.417,2.461,2.33,2.119,2.001,1.855,1.369,1.222,1.056,0.886,0.803,0.761,0.665,0.583,0.486
1-212.txt_67,20.274,11.679,7.213,5.583,3.995,3.309,2.903,2.5,2.173,1.643,1.263,1.088,0.868,0.634,0.465,0.368,0.276,0.249,0.119,0.002
1-212.txt_69,31.712,14.571,10.331,9.333,7.715,6.749,6.638,6.25,6.096,5.888,5.247,4.86,4.779,4.078,3.979,3.945,3.757,3.432,3.275,2.861
1-212.txt_71,19.393,10.688,6.858,5.668,3.618,3.399,2.797,2.471,1.858,1.707,1.226,1.013,0.918,0.658,0.449,0.362,0.255,0.225,0.123,0.001
1-212.txt_73,20.088,11.371,7.774,6.205,4.978,4.033,3.735,3.264,2.742,2.601,2.541,2.256,2.067,1.853,1.721,1.649,1.312,1.271,1.17,0.997
1-212.txt_75,30.247,19.211,10.524,8.61,7.03,5.116,4.846,4.131,3.627,3.25,2.565,2.215,1.756,1.585,1.518,1.444,1.288,1.188,1.086,1.05
1-212.txt_77,19.576,10.957,7.592,5.657,4.996,4.035,3.601,3.139,2.863,2.795,2.682,2.469,1.986,1.841,1.729,1.617,1.417,1.333,1.203,1.141
1-212.txt_79,20.212,10.776,7.705,5.621,5.006,4.201,3.604,3,2.911,2.735,2.442,2.294,2.173,1.77,1.657,1.545,1.394,1.332,1.238,0.987
1-212.txt_81,19.716,11.113,6.29,5.778,4.868,4.584,4.184,3.98,3.808,3.708,3.52,3.294,3.121,2.899,2.815,2.595,2.496,2.268,2.218,1.959
1-212.txt_83,18.78,11.917,6.875,5.781,3.839,3.395,3.282,2.321,2.26,1.943,1.457,1.154,1.031,0.899,0.87,0.77,0.647,0.535,0.506,0.338
