#name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0-211.txt_1,-0.6065,-0.7685,-1.1157,-1.3796,-2.0694,-0.6713,-0.6991,-1.7269,-0.9398,-1.2685,-1.287,-0.6157,-0.787,-1.537,-1.7269,-0.7269,-0.7407,-2.0278,-1.0556,-0.9861
0-211.txt_3,-0.103,-1.4585,-0.7342,-0.7542,-2.0664,-0.9767,-0.8007,-0.8239,-1.402,-1.3654,-1.3654,-1.0532,-0.9967,-1.3455,-1.8272,-0.1661,-0.3123,-2.1894,-1.0598,-0.9103
0-211.txt_5,-0.8914,-1.1086,-0.8019,-1.1752,-2,-0.6857,-0.8629,-1.7581,-1.0781,-1.1524,-1.0267,-0.7295,-0.8648,-1.2267,-1.6133,-0.4952,-0.6876,-2.1448,-0.9733,-1.0133
0-211.txt_7,-0.4672,-1.0233,-1.4376,-1.4397,-2.5433,-1.2622,-0.871,-1.8753,-1.8182,-0.9387,-0.8879,-0.8414,-1.3256,-1.7653,-1.9979,-0.9514,-0.9175,-3.0254,-1.6533,-0.945
0-211.txt_9,-1.6136,-1.6894,-1.2424,-1.5379,-3.0152,-0.9697,-0.6894,-2.2273,-1.7803,-1.4167,-1.9697,-0.3333,-1.4773,-1.9848,-3,-0.9091,-0.3712,-3.1136,-1.9394,-0.9621
0-211.txt_11,-0.8961,-1.1715,-0.6783,-1.2153,-2.6746,-0.9737,-1.1352,-1.5569,-1.567,-1.3267,-1.2954,-0.7222,-1.3004,-1.3892,-2.1101,-0.4869,-0.6133,-2.4393,-1.194,-1.1064
0-211.txt_13,-0.6812,-1.1256,-1.314,-1.3623,-2.744,-1.0676,-0.8019,-2.2367,-1.4638,-0.599,-0.9903,-0.5507,-1.1884,-1.6908,-2.1111,-1.0435,-0.7826,-3.2802,-1.9807,-0.8261
0-211.txt_15,-1.009,-1.5136,-1.0136,-1.8529,-2.4163,-0.9412,-1.4525,-2.043,-1.7059,-0.7081,-0.7647,-1.0136,-1.009,-1.1176,-2.1652,-0.7036,-0.6131,-2.4276,-1.1606,-0.8778
0-211.txt_17,-0.2364,-0.8499,-0.6321,-1.0257,-1.9984,-0.2189,-0.5224,-1.2888,-1.0142,-1.6043,-1.4629,-0.5,-0.9383,-2.0573,-0.5005,0.2838,-5.00E-04,-2.6152,-1.6217,-1.1905
0-211.txt_19,-0.8098,-0.6442,-0.8282,-1.0061,-2.2025,-0.1656,-0.4417,-1.7301,-1.3129,-1.2515,-1.1472,-0.546,-0.5644,-1.6933,-1.4847,-0.6258,-0.589,-2.3129,-1.4049,-1.0368
