#name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
1-212.txt_1,-0.8051,-1.3692,-0.9333,-1.359,-2.3897,-1.1026,-1.0872,-1.8923,-1.6103,-1.4051,-1.4513,-0.9077,-1.4154,-1.4718,-1.8769,-0.6462,-0.5744,-2.5436,-1.0359,-0.8308
1-212.txt_3,-0.4848,-1.0364,-0.8424,-1.0364,-1.8848,-0.6182,-0.8485,-1.4,-1.5394,-1.5818,-1.503,-0.5394,-0.9697,-2.0485,-1.5091,-0.2788,-0.2364,-2.4,-1.6121,-1.2424
1-212.txt_5,-0.9211,-1.3895,-0.9789,-1.5053,-2.6105,-1.0421,-1.0842,-1.8421,-1.7211,-1.3684,-1.3053,-0.9842,-1.3421,-1.1895,-1.8947,-0.6895,-0.5053,-2.6895,-1.1211,-0.9842
1-212.txt_7,-0.75,-1.1875,-0.875,-1.3864,-2.4148,-0.9943,-0.7386,-1.608,-1.7443,-1.4318,-1.3807,-0.8011,-1.0341,-1.5057,-1.5341,-0.517,-0.517,-2.3693,-1.1023,-0.9943
1-212.txt_9,-1.1237,-1.2688,-1.3978,-1.4409,-2.7473,-1.043,-0.7688,-2.0108,-1.5376,-1.2957,-1.1398,-0.7634,-1.0806,-1.5968,-2.1935,-0.9785,-0.672,-2.9624,-1.7312,-0.8441
1-212.txt_11,-0.6617,-0.8195,-0.7293,-1.1654,-1.8609,-0.5038,-0.6128,-1.6654,-1.0263,-1.2143,-1.0865,-0.6241,-0.6203,-1.5,-1.5639,-0.3647,-0.6053,-2.218,-1.1015,-1.0038
1-212.txt_13,-1.3179,-1.3815,-1.341,-1.578,-3.0405,-1.0231,-0.7572,-2.3121,-1.5491,-1.2659,-1.2139,-0.6763,-1.2023,-1.6705,-2.4046,-0.9711,-0.6301,-3.3179,-1.5145,-0.9942
1-212.txt_15,-1.0924,-1.3207,-1.288,-1.4837,-3.1359,-0.9076,-0.8478,-2.163,-1.5272,-1.2826,-1.1033,-0.8641,-1.125,-1.5109,-2.2609,-0.9674,-0.625,-3.2554,-1.7717,-0.8967
1-212.txt_17,-0.796,-1.5323,-0.8507,-1.3483,-2.6318,-1.1393,-0.9552,-1.8955,-1.7612,-1.5224,-1.4229,-0.9055,-1.5522,-1.2786,-2,-0.7114,-0.5572,-2.6915,-1.01,-0.9204
1-212.txt_19,-0.6121,-1.5093,-0.986,-1.5421,-2.3925,-1.0748,-1.2009,-1.6636,-1.8224,-1.4813,-1.257,-0.972,-1.3364,-1.3645,-1.9626,-0.5421,-0.4579,-2.6916,-1.2477,-0.9579
1-212.txt_21,-0.4903,-0.9709,-0.9272,-1.3107,-1.5728,-0.6553,-0.733,-1.6699,-1.2864,-1.1748,-1.1165,-0.5971,-0.6942,-1.4709,-1.3883,-0.3155,-0.4709,-2.2573,-1.1505,-0.8641
1-212.txt_23,-0.4693,-0.9218,-0.7039,-1.2793,-1.5196,-0.5922,-0.7207,-1.5978,-1.1676,-1.1173,-0.9888,-0.4469,-0.5978,-1.486,-1.6425,-0.2849,-0.3631,-2.2123,-1.0726,-0.7765
1-212.txt_25,-0.9839,-1.4355,-0.8172,-1.2258,-2.7312,-1.1237,-1.0914,-1.871,-1.8011,-1.4301,-1.4355,-0.8441,-1.3011,-1.4624,-1.9892,-0.7419,-0.6774,-2.7312,-1.2151,-0.914
1-212.txt_27,-0.7092,-1.0326,-0.7092,-1.0593,-1.7745,-0.5727,-0.6053,-1.7804,-1.0979,-1.2166,-1.1691,-0.7329,-0.7804,-1.4777,-1.4451,-0.4154,-0.3858,-2.1068,-0.9377,-0.9288
1-212.txt_29,-0.5441,-1.2324,-0.7559,-1.2765,-1.8059,-0.8618,-0.8794,-1.6176,-1.4971,-1.2206,-1.1794,-0.7941,-0.8147,-1.4471,-1.3765,-0.3676,-0.4412,-2.4529,-1.2206,-0.8353
