#name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0-211.txt_1,20.004,12.484,7.923,5.965,4.882,3.587,3.217,2.891,2.647,2.288,2.066,1.646,1.513,1.365,1.254,1.064,0.966,0.895,0.815,0.774
0-211.txt_3,24.316,12.872,8.889,7.564,5.72,4.837,3.886,3.186,2.725,2.425,2.301,2.033,1.749,1.516,1.427,1.169,1.09,0.966,0.746,0.647
0-211.txt_5,31.401,19.012,11.009,9.143,7.273,6.346,5.993,5.507,4.986,4.708,4.431,3.965,3.471,3.376,3.261,3.029,2.683,2.543,2.487,2.036
0-211.txt_7,31.026,17.425,10.385,8.917,7.639,7.406,7.22,6.893,6.291,6.063,5.635,5.529,5.303,5.083,4.94,4.774,4.583,4.238,4.041,3.548
0-211.txt_9,16.025,9.275,5.942,4.852,4.634,4.035,3.742,3.387,3.148,2.892,2.745,2.472,2.439,2.267,2.148,2.052,1.934,1.724,1.641,1.551
0-211.txt_11,38.925,22.937,13.079,11.977,10.463,9.098,8.367,7.546,6.928,6.796,6.308,5.954,5.661,5.492,5.242,4.926,4.754,4.551,4.31,4.141
0-211.txt_13,22.039,12.679,6.391,5.434,5.11,4.679,4.483,4.154,3.784,3.258,3.179,3.017,2.822,2.724,2.616,2.459,2.439,2.188,1.983,1.87
0-211.txt_15,28.142,18.509,9.954,8.877,7.02,6.375,5.619,5.235,4.745,4.628,4.275,4.098,4.022,3.905,3.344,3.245,3.068,3.021,2.94,2.553
0-211.txt_17,63.95,28.266,19.842,15.112,14.047,12.185,11.328,9.456,8.735,7.841,7.493,6.391,6.03,5.776,5.197,5.088,5.025,4.427,4.214,4.072
0-211.txt_19,18.44,11.708,5.756,4.73,4.227,2.941,2.359,2.07,1.487,1.229,0.959,0.705,0.684,0.618,0.509,0.402,0.35,0.296,0.199,0.17
0-211.txt_21,54.765,21.974,18.47,16.522,13.068,12.241,11.246,9.969,9.098,8.745,8.232,8.004,7.709,7.411,7.3,7.066,6.66,6.106,5.814,5.303
0-211.txt_23,18.361,10.319,6.285,5.442,4.555,3.878,3.087,2.974,2.561,2.416,2.283,2.238,1.747,1.686,1.48,1.347,1.323,1.142,1.059,0.792
0-211.txt_25,52.238,25.823,16.195,14.193,13.114,10.819,10.674,9.216,8.128,7.579,7.521,6.514,6.36,6.08,5.721,4.92,4.763,4.408,3.908,2.129
