#name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
1-212.txt_1,-0.8051,-1.3692,-0.9333,-1.359,-2.3897,-1.1026,-1.0872,-1.8923,-1.6103,-1.4051,-1.4513,-0.9077,-1.4154,-1.4718,-1.8769,-0.6462,-0.5744,-2.5436,-1.0359,-0.8308,8.4897,9.8866,14.4072,14.7216,11.0309,7.5103,10.732,11.4845,10.933,13.0567,11.9278,11.6134,8.9794,19.1237,10.3711,8.0515,8.4072,19.3763,18.6495,12.701
1-212.txt_3,-0.4848,-1.0364,-0.8424,-1.0364,-1.8848,-0.6182,-0.8485,-1.4,-1.5394,-1.5818,-1.503,-0.5394,-0.9697,-2.0485,-1.5091,-0.2788,-0.2364,-2.4,-1.6121,-1.2424,5.5427,8.9085,10.3902,14.0427,10.622,8.122,7.189,12.3963,4.9268,7.6341,8.8598,9.6768,4.878,10.5244,11.8049,5.3598,7.5427,12.1951,7.0183,8.25
1-212.txt_5,-0.9211,-1.3895,-0.9789,-1.5053,-2.6105,-1.0421,-1.0842,-1.8421,-1.7211,-1.3684,-1.3053,-0.9842,-1.3421,-1.1895,-1.8947,-0.6895,-0.5053,-2.6895,-1.1211,-0.9842,7.5026,10.2487,14.1376,15.5661,13.381,10.2169,11.9471,13.873,10.1005,11.1746,11.3968,11.7302,9.2116,21.9101,9.8148,9.2063,10.4392,17.2487,20.0688,10.709
1-212.txt_7,-0.75,-1.1875,-0.875,-1.3864,-2.4148,-0.9943,-0.7386,-1.608,-1.7443,-1.4318,-1.3807,-0.8011,-1.0341,-1.5057,-1.5341,-0.517,-0.517,-2.3693,-1.1023,-0.9943,5.8286,10.4914,12.6457,13.4571,6.7143,6.8,11.52,11.8229,4.5086,13.08,11.48,10.3314,9.4114,14.9029,13.2343,6.4571,8.32,12.3886,15.7543,12.2171
1-212.txt_9,-1.1237,-1.2688,-1.3978,-1.4409,-2.7473,-1.043,-0.7688,-2.0108,-1.5376,-1.2957,-1.1398,-0.7634,-1.0806,-1.5968,-2.1935,-0.9785,-0.672,-2.9624,-1.7312,-0.8441,6.9676,12.5784,12.5514,14.8595,17.5622,13.4757,13.6541,13.7405,12.3838,13.3514,14.7838,12.6703,14.2865,20.4973,12.1351,7.9135,11.2054,15.4432,13.1189,10.4973
1-212.txt_11,-0.6617,-0.8195,-0.7293,-1.1654,-1.8609,-0.5038,-0.6128,-1.6654,-1.0263,-1.2143,-1.0865,-0.6241,-0.6203,-1.5,-1.5639,-0.3647,-0.6053,-2.218,-1.1015,-1.0038,4.3774,8.3208,9.717,11.4679,6.9434,5.8491,8.8038,9.8604,8.0943,9.7849,9.5472,6.7132,5.7774,9.766,8.0491,5.5736,4.5283,10.4717,9.7057,7.6453
1-212.txt_13,-1.3179,-1.3815,-1.341,-1.578,-3.0405,-1.0231,-0.7572,-2.3121,-1.5491,-1.2659,-1.2139,-0.6763,-1.2023,-1.6705,-2.4046,-0.9711,-0.6301,-3.3179,-1.5145,-0.9942,6.436,12.8721,15.7674,14.2733,15.7791,11.3198,15.436,13.8953,14.0116,13.5174,14.843,14.1453,13.2558,20.343,11.1221,9.0291,10.0523,13.0756,14.5174,10.7907
1-212.txt_15,-1.0924,-1.3207,-1.288,-1.4837,-3.1359,-0.9076,-0.8478,-2.163,-1.5272,-1.2826,-1.1033,-0.8641,-1.125,-1.5109,-2.2609,-0.9674,-0.625,-3.2554,-1.7717,-0.8967,7.6557,13.1093,11.0273,13.6175,14.9563,10.7923,15.5246,14.7268,12.082,13.1858,13.5847,15.0601,14.2568,19.6831,13.071,8.4372,10.7104,17.7869,15.3115,10.6393
1-212.txt_17,-0.796,-1.5323,-0.8507,-1.3483,-2.6318,-1.1393,-0.9552,-1.8955,-1.7612,-1.5224,-1.4229,-0.9055,-1.5522,-1.2786,-2,-0.7114,-0.5572,-2.6915,-1.01,-0.9204,7.54,10.77,12.69,18.345,14.05,8.63,11.76,12.275,11.41,11.635,10.555,11.585,9.265,21.125,12.03,10.3,8.54,17.295,21.715,9.48
1-212.txt_19,-0.6121,-1.5093,-0.986,-1.5421,-2.3925,-1.0748,-1.2009,-1.6636,-1.8224,-1.4813,-1.257,-0.972,-1.3364,-1.3645,-1.9626,-0.5421,-0.4579,-2.6916,-1.2477,-0.9579,8.6338,9.5117,11.0516,15.3662,12.9812,8.8404,10.2629,12.3146,9.6667,10.9671,11.3662,10.8779,8.8592,22.493,11.8732,9.385,9.9484,15.0516,18.831,11.1455
1-212.txt_21,-0.4903,-0.9709,-0.9272,-1.3107,-1.5728,-0.6553,-0.733,-1.6699,-1.2864,-1.1748,-1.1165,-0.5971,-0.6942,-1.4709,-1.3883,-0.3155,-0.4709,-2.2573,-1.1505,-0.8641,4.7854,8.322,9.0098,9.8634,12.1561,5.6537,9.4732,8.3024,5.3902,10.839,8.7756,8.9073,4.4976,10.4878,9.1854,5.7561,5.2488,9.722,10.0634,9.161
1-212.txt_23,-0.4693,-0.9218,-0.7039,-1.2793,-1.5196,-0.5922,-0.7207,-1.5978,-1.1676,-1.1173,-0.9888,-0.4469,-0.5978,-1.486,-1.6425,-0.2849,-0.3631,-2.2123,-1.0726,-0.7765,4.9551,6.5899,10.5618,9.3933,11.0787,5.6348,9.2753,9.8596,6.382,10.236,9.9719,10.8989,6.0169,7.1798,5.1292,5,6.6629,7.8258,9.7191,8.2079
1-212.txt_25,-0.9839,-1.4355,-0.8172,-1.2258,-2.7312,-1.1237,-1.0914,-1.871,-1.8011,-1.4301,-1.4355,-0.8441,-1.3011,-1.4624,-1.9892,-0.7419,-0.6774,-2.7312,-1.2151,-0.914,10.0162,9.2703,16.9568,14.9351,12.2162,7.8703,11.3676,13.6649,9.8324,13.0703,12.7351,10.8324,10.5946,19.2811,9.0973,9.8432,8.6054,18.3297,19.9568,11.6324
1-212.txt_27,-0.7092,-1.0326,-0.7092,-1.0593,-1.7745,-0.5727,-0.6053,-1.7804,-1.0979,-1.2166,-1.1691,-0.7329,-0.7804,-1.4777,-1.4451,-0.4154,-0.3858,-2.1068,-0.9377,-0.9288,4.2202,7.2262,10.8839,12.2887,8.8274,6.5893,9.5893,7.5089,6.2054,10.4554,9.9226,6.2708,4.5655,11.2024,9.9613,4.5565,6.5119,12.9226,14.2708,8.2708
1-212.txt_29,-0.5441,-1.2324,-0.7559,-1.2765,-1.8059,-0.8618,-0.8794,-1.6176,-1.4971,-1.2206,-1.1794,-0.7941,-0.8147,-1.4471,-1.3765,-0.3676,-0.4412,-2.4529,-1.2206,-0.8353,5.8879,7.6254,11.7581,11.1917,11.7876,6.6106,9.4779,10.6873,6.6401,10.8201,10.295,8.4277,7.2212,13.6608,13.2006,7.5369,6.5428,8.5723,12.6401,9.3658
1-212.txt_31,-0.8317,-1.2475,-0.901,-1.2376,-1.6733,-0.9307,-1.0495,-1.7921,-1.0594,-1.3861,-1.495,-1.0693,-1.1584,-1.3861,-1.6634,-0.6238,-0.4158,-2.4158,-0.9406,-1.1188,4.84,11.96,11.02,13.21,18.15,8.35,10.89,8.33,10.2,11.54,8.37,7.71,4.49,18.1,10.77,4.61,7.02,11.08,15.38,9.62
1-212.txt_33,-1.125,-1.4659,-1.5114,-1.6477,-3.1307,-1.3125,-0.9091,-2.3068,-1.6818,-1.3011,-1.2216,-0.9261,-1.2159,-1.7614,-2.3523,-0.9545,-0.7159,-3.5057,-1.875,-1.0795,7.8914,11.8286,13.2629,16.1943,16.3886,12.2171,17.1543,14.5429,14.9029,15.1029,13.5086,15.7771,13.8629,20.3657,14.0571,9.5657,12.6,13.8914,13.0229,12.1657
1-212.txt_35,-0.6477,-1,-0.6114,-1.2435,-1.5803,-0.6995,-0.8497,-1.715,-1.1917,-1.5078,-1.4611,-0.6839,-0.9585,-1.5907,-1.9171,-0.2487,-0.2228,-2.3834,-1.2487,-1.1813,4.6302,9.5781,14.6927,13.1042,15.724,6.6875,10.7865,7.6562,7.1615,11.1771,11.0885,10.1302,7.0885,11.401,3.875,8.4896,7.6823,12.4531,7.7604,8.1719
1-212.txt_37,-0.5,-1.5673,-0.9904,-1.6779,-2.3365,-0.9615,-1.1202,-1.6731,-1.5,-1.3654,-1.2885,-0.9038,-1.125,-1.3462,-1.851,-0.5288,-0.5337,-2.5192,-1.1538,-0.8798,7.4589,8.6039,13.7391,12.1159,11.2222,10.1932,12.913,13.087,10.8406,11.9324,11.657,11.6812,8.913,19.4541,11.3865,8.4203,7.6715,11.8068,16.6908,11.2222
1-212.txt_39,-1.2148,-1.4832,-0.7181,-1.4832,-2.604,-1.0671,-0.8658,-1.8725,-1.6242,-1.1946,-1.443,-0.7517,-1.0872,-1.4899,-1.8725,-0.6846,-0.7383,-2.2752,-0.9664,-1.0268,6.5878,8.9122,15.6892,14.2432,7.5608,7.4527,13.8108,13.1216,7.2432,17.5405,12.7095,12.1689,8.7432,15.3716,11.3311,7.8446,7.3581,20.75,22.7297,14.0135
