#name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
trpos2840.txt_allergen_93,-0.8062,-2.1812,-1.275,-1.4438,-2.7562,-1.5312,-0.875,-1.6375,-1.0875,-1.225,-1.675,-0.7312,-1.5375,-2.0187,-2.025,-0.7688,-0.6375,-3.2687,-1.8375,-0.9875
trpos2840.txt_allergen_1025,0.0417,-1.6667,-1.4,-2.5583,-1.8667,-1.7,-2.3667,-1.6417,-2.7083,-1.6,-1.525,-1.425,-1.175,-2.8167,-1.8333,-0.5333,-0.7333,-3.8333,-2.6833,-0.9083
trpos2840.txt_allergen_3152,-0.8354,-1.6402,-0.8841,-1.9634,-2.4512,-1.0549,-1.6524,-1.9817,-1.4451,-1.8659,-1.9085,-1.1341,-1.5183,-1.9268,-1.8659,-0.628,-1.1768,-2.5549,-1.1707,-1.3902
trpos2840.txt_allergen_2406,-1.5445,-1.4418,-1.7979,-1.9555,-1.9349,-1.4007,-1.4623,-2.6781,-1.3973,-1.3185,-1.2021,-1.0548,-0.9418,-1.8288,-2.6473,-1.339,-1.4247,-3.3699,-1.7363,-1.4075
trpos2840.txt_allergen_3270,-0.3448,-1.569,-1.0948,-1.7716,-1.7802,-1.1853,-1.6724,-1.0302,-1.5948,-1.6724,-1.7931,-1.3276,-1.5388,-1.8922,-1.5172,-0.3707,-0.4741,-2.5819,-1.7629,-1.2371
trpos2840.txt_allergen_2992,-0.4484,-1.4953,-0.7469,-1.1313,-2.3391,-0.9922,-1.1797,-1.3578,-1.6234,-1.2719,-1.4344,-1.0891,-1.4,-1.6156,-1.6547,-0.1891,-0.3375,-2.3188,-1.0984,-1.0266
trpos2840.txt_allergen_499,-0.8208,-1.3962,-0.9088,-1.1305,-2.6164,-0.9119,-1.0566,-1.5425,-1.3019,-1.4638,-1.3459,-1.0346,-1.3318,-1.4701,-1.6635,-0.5519,-0.5959,-2.3129,-1.1619,-1.1352
trpos2840.txt_allergen_3177,-0.5057,-1.6502,-1.3688,-1.9886,-2.4943,-1.4297,-1.9202,-1.2966,-1.9848,-1.8365,-1.8213,-1.4639,-1.5361,-2.0837,-2.057,-0.6882,-0.8289,-2.924,-1.8897,-1.3232
trpos2840.txt_allergen_876,-0.3982,-1.5619,-1.0487,-1.7743,-1.8761,-1.2168,-1.7124,-1.1681,-1.6726,-1.8142,-1.8363,-1.3717,-1.5841,-1.854,-1.5752,-0.4823,-0.5,-2.7035,-1.7699,-1.3407
trpos2840.txt_allergen_409,-0.4022,-1.162,-0.7207,-0.9609,-1.3296,-0.6536,-0.743,-1.0726,-1.1899,-1.3911,-1.4581,-0.8492,-0.8994,-1.7318,-1.3464,-0.1453,-0.6313,-2.3855,-1.3352,-1.0335
trpos2840.txt_allergen_2020,-0.3659,-0.939,-1.1585,-1.2378,-2.0732,-0.8598,-0.5671,0.3598,-1.6585,-2.4817,-2.4573,-0.3415,-1.8537,-2.5793,-0.122,-0.5366,-1.189,-2.9024,-2.1524,-2.0488
trpos2840.txt_allergen_1400,-1.2317,-1.378,-1.4146,-0.9268,-3.0244,-1.1463,-0.5366,-2.4756,-1.8659,-1.7317,-1.5244,-0.5,-0.2927,-1.7561,-3.4878,-1.2927,-1.3293,-3.8659,-1.939,-1.7439
trpos2840.txt_allergen_730,-0.6656,-1.5756,-1.4107,-1.4214,-3.087,-0.9542,-0.7924,-2.1115,-2.0611,-1.3374,-1.5481,-0.7908,-1.6046,-2.3786,-2.3969,-0.826,-0.8382,-4.0229,-2.4214,-1.1527
trpos2840.txt_allergen_2083,-0.994,-2.3862,-1.1018,-1.4701,-3.0299,-1.0778,-1.6677,-1.488,-2.2754,-1.4491,-1.6796,-1.6766,-1.7305,-1.5479,-2.1497,-0.1647,-0.3772,-3.2725,-1.2934,-1.1138
trpos2840.txt_allergen_3239,-0.7877,-1.3184,-0.5991,-1.5354,-2.1038,-0.9693,-1.2547,-1.5778,-1.4481,-1.8491,-1.9481,-0.8491,-1.5778,-2.0495,-1.5425,-0.4505,-0.8632,-2.3821,-1.1392,-1.4269
trpos2840.txt_allergen_2555,-0.9167,-1,-0.9583,-1.4583,-2.125,-0.25,-0.6667,-2,-1.4167,-1.3333,-0.9167,-0.875,-0.4167,-1.375,-0.875,-0.4583,-0.0417,-1.75,-1.25,-1.0417
trpos2840.txt_allergen_1585,0.5,-1.2843,-1.2255,-1.4804,-1.9706,-0.7353,-0.7353,-1.5588,-1.6765,-1.4314,-1.6569,-0.5686,-1.1078,-1.9902,-1.1078,-0.0392,-0.1373,-2.5196,-1.4314,-0.902
trpos2840.txt_allergen_3524,-0.9223,-1.4706,-1.0525,-1.438,-2.7153,-1.0095,-1.146,-1.7836,-1.3729,-1.4601,-1.4002,-1.2784,-1.3393,-1.5032,-1.8183,-0.6439,-0.5945,-2.3393,-1.1576,-1.1019
trpos2840.txt_allergen_2284,-1.0562,-1.4073,-1.2753,-1.3118,-2.5534,-1.0674,-0.9213,-2.0449,-1.6264,-1.3876,-1.236,-0.8062,-1.2781,-2.0253,-2.2472,-0.8848,-0.9831,-3.2022,-1.8933,-1.2837
trpos2840.txt_allergen_3271,-0.3522,-1.6087,-1.1652,-1.8435,-1.8304,-1.2304,-1.7261,-1.1522,-1.7304,-1.787,-1.8739,-1.3913,-1.6174,-1.9783,-1.5783,-0.3957,-0.487,-2.7609,-1.9043,-1.3348
