#name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147
trpos2840.txt_allergen_93,0.3125,0.4125,0.275,0.3875,0.35625,0.25625,0.31875,0.3375,0.34375,0.3375,0.40625,0.25625,0.11875,0.7375,0.14375,0.43125,0.2875,0.28125,0.425,0.3125,0.2625,3.125,28.75,50.625,77.5,100,1.25,23.75,51.25,75.625,99.375,0.625,18.75,45,66.25,95.625,1.25,22.5,47.5,69.375,98.75,1.875,23.125,46.25,71.25,100,0.625,35,51.25,79.375,99.375,0.625,18.75,46.875,71.25,99.375,1.25,21.875,39.375,69.375,98.75,3.125,30,55,79.375,100,1.25,23.75,51.875,70.625,98.75,1.875,22.5,43.75,66.25,100,0.625,35,51.25,79.375,99.375,11.25,34.375,50.625,77.5,91.25,0.625,22.5,48.75,71.875,100,4.375,26.875,47.5,78.75,98.125,0.625,26.875,60,83.125,98.75,1.875,15,40.625,62.5,99.375,1.25,27.5,45.625,68.75,100,1.25,21.25,46.875,70,98.75,3.125,28.75,50.625,77.5,100,0.625,22.5,51.25,75.625,99.375,0.28931,0.20755,0.18868,0.27673,0.16352,0.20755,0.20126,0.25786,0.25157,0.28302,0.14465,0.22642,0.19497,0.031447,0.24528,0.28302,0.16352,0.16981,0.33333,0.18239,0.16352
trpos2840.txt_allergen_1025,0.19167,0.48333,0.325,0.56667,0.28333,0.15,0.34167,0.46667,0.19167,0.39167,0.45833,0.15,0.083333,0.89167,0.025,0.40833,0.3,0.29167,0.50833,0.19167,0.3,2.5,36.66667,60,76.66667,99.16667,1.666667,28.33333,53.33333,72.5,97.5,0.8333333,12.5,32.5,65.83333,100,1.666667,28.33333,48.33333,70.83333,97.5,5.833333,15.83333,49.16667,75,98.33333,0.8333333,5,50,73.33333,100,0.8333333,13.33333,33.33333,65.83333,100,1.666667,28.33333,53.33333,72.5,97.5,2.5,36.66667,60,76.66667,99.16667,1.666667,25.83333,54.16667,70.83333,97.5,5.833333,22.5,45,74.16667,98.33333,0.8333333,5,50,73.33333,100,2.5,5,60,73.33333,99.16667,0.8333333,24.16667,47.5,75,100,20,20,20,29.16667,59.16667,0.8333333,18.33333,40.83333,62.5,99.16667,7.5,24.16667,49.16667,85.83333,100,3.333333,38.33333,58.33333,77.5,96.66667,1.666667,19.16667,46.66667,69.16667,100,2.5,36.66667,60,76.66667,99.16667,0.8333333,27.5,44.16667,75.83333,97.5,0.15966,0.14286,0.29412,0.33613,0.13445,0.084034,0.30252,0.15126,0.15126,0.34454,0.092437,0.12605,0.14286,0.0084034,0.042017,0.14286,0.18487,0.23529,0.20168,0.2605,0.10084
trpos2840.txt_allergen_3152,0.28659,0.44512,0.26829,0.45122,0.32927,0.21951,0.31707,0.37805,0.30488,0.37805,0.40244,0.21951,0.085366,0.85976,0.054878,0.37805,0.29268,0.32927,0.46951,0.28659,0.2439,1.219512,31.70732,48.78049,75.60976,98.78049,1.829268,23.17073,46.95122,70.12195,100,0.6097561,19.5122,50,77.43902,96.95122,1.829268,24.39024,51.82927,70.12195,99.39024,1.219512,17.68293,42.68293,76.82927,98.17073,0.6097561,31.70732,54.87805,74.39024,100,0.6097561,25.60976,50.60976,77.43902,100,1.829268,22.56098,46.34146,69.5122,99.39024,1.219512,31.70732,48.78049,73.78049,98.78049,1.829268,24.39024,51.21951,67.07317,97.56098,1.219512,19.5122,46.34146,82.31707,99.39024,0.6097561,31.70732,54.87805,74.39024,100,3.04878,31.70732,62.80488,78.04878,98.78049,0.6097561,22.56098,46.95122,74.39024,100,18.29268,40.85366,54.26829,62.19512,93.29268,0.6097561,10.97561,34.7561,62.19512,98.78049,1.829268,36.58537,65.85366,82.31707,100,2.439024,27.43902,51.82927,70.73171,99.39024,3.658537,25.60976,50,73.17073,97.56098,1.219512,31.70732,48.78049,75.60976,98.78049,0.6097561,20.12195,46.34146,73.78049,100,0.2638,0.1411,0.22086,0.27607,0.22699,0.1411,0.25153,0.19018,0.22699,0.30675,0.18405,0.18405,0.14724,0.01227,0.09816,0.1411,0.23313,0.2454,0.2454,0.17178,0.15951
trpos2840.txt_allergen_2406,0.32192,0.33904,0.33904,0.33219,0.37671,0.2911,0.37671,0.26027,0.36301,0.27055,0.43836,0.2911,0.13356,0.72945,0.13699,0.46233,0.28767,0.25,0.41438,0.32192,0.2637,0.6849315,19.17808,41.43836,70.54795,99.31507,1.369863,30.82192,55.13699,78.42466,100,0.3424658,27.05479,52.05479,73.63014,99.65753,3.767123,32.87671,60.61644,80.13699,100,0.6849315,20.20548,44.86301,71.57534,99.65753,0.3424658,24.31507,41.43836,66.09589,98.28767,0.3424658,26.71233,50.68493,72.94521,99.65753,3.767123,38.69863,61.9863,80.13699,100,0.6849315,19.52055,40.41096,68.15068,99.31507,3.767123,31.84932,58.21918,80.47945,100,0.6849315,22.60274,47.60274,73.63014,99.65753,0.3424658,24.31507,41.43836,66.09589,98.28767,2.054795,17.12329,35.61644,57.87671,98.28767,0.3424658,27.39726,52.73973,75.34247,100,0.6849315,17.46575,46.23288,76.71233,99.31507,0.3424658,20.20548,43.49315,71.23288,100,1.369863,25.68493,53.42466,72.94521,99.65753,3.767123,32.53425,61.9863,79.45205,98.63014,2.39726,27.39726,52.39726,73.9726,100,0.6849315,19.17808,41.43836,70.54795,99.31507,0.3424658,30.82192,55.13699,77.39726,97.60274,0.21306,0.24055,0.24399,0.2646,0.17869,0.22337,0.21306,0.28522,0.14777,0.27148,0.14433,0.25773,0.20962,0.030928,0.21649,0.23368,0.20619,0.17182,0.27148,0.20619,0.18213
trpos2840.txt_allergen_3270,0.22845,0.47845,0.2931,0.53448,0.27155,0.19397,0.33621,0.43103,0.23276,0.4181,0.38793,0.19397,0.068966,0.88793,0.043103,0.30172,0.36638,0.3319,0.49138,0.22845,0.28017,8.62069,31.46552,51.2931,75,97.84483,0.862069,25,47.41379,77.58621,100,0.4310345,15.08621,46.12069,67.67241,99.56897,0.862069,27.58621,51.2931,78.01724,100,1.724138,14.22414,46.12069,65.08621,98.7069,0.4310345,29.74138,52.15517,77.58621,99.13793,0.4310345,16.81034,49.56897,70.68966,99.56897,0.862069,24.13793,45.25862,76.2931,100,8.62069,31.46552,52.58621,75,97.84483,0.862069,25,43.53448,74.56897,100,1.724138,21.55172,50.43103,69.82759,99.56897,0.4310345,29.74138,52.15517,77.58621,99.13793,10.77586,29.74138,62.5,75,97.84483,0.4310345,23.7069,48.7069,74.56897,100,12.93103,34.05172,51.2931,54.74138,91.81034,0.4310345,21.55172,46.12069,69.82759,97.84483,1.724138,24.13793,49.56897,77.58621,99.56897,1.293103,33.18966,53.44828,73.27586,100,0.862069,18.53448,41.81034,70.68966,100,8.62069,31.46552,51.2931,75,97.84483,0.4310345,31.89655,58.62069,78.87931,97.41379,0.22078,0.17749,0.25974,0.2684,0.22078,0.1039,0.29004,0.21645,0.19048,0.29437,0.19481,0.12987,0.1342,0.004329,0.073593,0.20779,0.19481,0.28571,0.30303,0.2987,0.095238
trpos2840.txt_allergen_2992,0.22656,0.51094,0.2625,0.54688,0.28437,0.16875,0.30469,0.4625,0.23281,0.49688,0.33437,0.16875,0.051562,0.83906,0.10938,0.30625,0.34063,0.35313,0.43281,0.22656,0.34063,0.625,23.28125,47.03125,67.5,100,0.3125,27.03125,55.78125,78.28125,99.6875,0.15625,20.78125,42.65625,68.90625,99.84375,0.3125,26.5625,54.375,78.125,99.6875,0.9375,20,43.28125,68.59375,99.21875,0.15625,25.78125,47.34375,68.28125,100,0.15625,22.5,44.6875,69.21875,99.84375,0.3125,26.5625,57.5,78.59375,99.6875,0.625,23.4375,47.03125,67.1875,100,0.3125,26.25,56.25,78.125,99.6875,0.9375,21.09375,45.625,70.46875,99.21875,0.15625,25.78125,47.34375,68.28125,100,0.625,20.625,46.40625,68.28125,100,0.15625,25,49.84375,75.15625,99.84375,4.375,27.65625,50.46875,68.4375,99.53125,0.15625,23.90625,46.71875,68.28125,100,0.46875,28.125,55.15625,79.84375,99.84375,0.3125,22.34375,48.59375,73.125,99.53125,0.46875,21.71875,43.75,70.15625,99.84375,0.625,23.28125,47.03125,67.5,100,0.15625,30.78125,60.78125,80.15625,99.6875,0.23005,0.10955,0.27387,0.29734,0.17214,0.090767,0.28482,0.13302,0.20657,0.31768,0.15806,0.10485,0.081377,0.014085,0.18936,0.21283,0.20031,0.22222,0.19718,0.29734,0.14241
trpos2840.txt_allergen_499,0.27044,0.42453,0.30503,0.44182,0.33333,0.22484,0.34591,0.36006,0.29403,0.37107,0.40409,0.22484,0.083333,0.81132,0.10535,0.35377,0.30346,0.34277,0.44811,0.27044,0.28145,0.6289308,26.57233,52.51572,71.85535,99.84277,0.3144654,23.27044,49.5283,77.20126,99.37107,0.1572327,25.31447,46.54088,74.37107,100,0.3144654,26.25786,50,76.72956,99.84277,0.6289308,27.35849,51.72956,74.84277,100,0.1572327,20.44025,46.54088,66.3522,99.21384,0.1572327,25,46.54088,73.58491,100,0.3144654,25.4717,50,77.67296,99.37107,0.6289308,24.0566,52.20126,71.85535,99.84277,0.3144654,27.98742,52.67296,77.51572,99.84277,0.6289308,26.10063,48.74214,73.74214,100,0.1572327,20.44025,46.54088,66.3522,99.21384,2.201258,34.90566,54.71698,69.49686,97.32704,0.1572327,23.58491,47.48428,75.9434,100,1.100629,31.13208,56.13208,72.79874,99.84277,0.1572327,24.68553,53.14465,74.68553,100,0.4716981,26.88679,47.79874,75.31447,99.21384,1.100629,21.85535,47.64151,72.79874,99.84277,0.3144654,27.51572,50.4717,76.72956,100,0.6289308,26.57233,52.51572,71.85535,99.84277,0.1572327,19.65409,45.75472,72.01258,99.37107,0.24094,0.16535,0.26299,0.29921,0.19843,0.13701,0.24252,0.20787,0.22362,0.30551,0.17953,0.15591,0.13543,0.015748,0.18583,0.22205,0.24094,0.21575,0.24409,0.28031,0.1622
trpos2840.txt_allergen_3177,0.20913,0.5057,0.28517,0.53232,0.21673,0.25095,0.32319,0.46008,0.21673,0.45627,0.29278,0.25095,0.091255,0.85171,0.057034,0.36502,0.327,0.30798,0.52852,0.20913,0.26236,1.140684,35.74144,56.65399,76.42586,99.23954,0.7604563,19.77186,41.44487,71.48289,98.47909,0.3802281,28.89734,55.89354,78.327,100,0.7604563,21.29278,41.8251,71.48289,98.47909,2.661597,32.31939,58.93536,80.60837,99.23954,0.3802281,24.71483,56.27376,76.42586,100,0.3802281,24.71483,53.9924,74.14449,100,0.7604563,19.77186,41.8251,72.24335,98.47909,1.140684,35.74144,54.75285,75.28517,99.23954,0.7604563,19.01141,39.54373,72.62357,98.47909,2.661597,34.60076,54.37262,73.0038,99.23954,0.3802281,24.71483,56.27376,76.42586,100,1.140684,37.26236,60.45627,73.38403,95.43726,0.3802281,23.19392,48.28897,76.04563,100,10.26616,29.65779,46.76806,66.92015,89.73384,0.3802281,23.95437,52.47148,75.28517,100,2.661597,23.57414,48.6692,70.72243,99.61977,1.901141,25.09506,47.52852,73.76426,98.09886,0.7604563,20.91255,47.90875,72.24335,99.61977,1.140684,35.74144,56.65399,76.42586,99.23954,0.3802281,21.673,44.10646,73.76426,100,0.20611,0.12977,0.30534,0.23282,0.27099,0.09542,0.31679,0.14885,0.20229,0.23282,0.23282,0.13359,0.1374,0.0076336,0.091603,0.25191,0.22137,0.19084,0.22901,0.29771,0.10687
trpos2840.txt_allergen_876,0.28319,0.4115,0.30531,0.49115,0.32743,0.18142,0.33628,0.37611,0.28761,0.33186,0.48673,0.18142,0.061947,0.86283,0.075221,0.27876,0.35398,0.36726,0.45133,0.28319,0.26549,0.8849558,31.41593,49.55752,69.9115,97.78761,1.769912,20.35398,46.90265,79.64602,100,0.4424779,16.81416,51.32743,69.46903,99.55752,1.769912,26.99115,53.09735,79.64602,100,0.8849558,25.22124,49.11504,65.9292,98.67257,0.4424779,15.48673,43.36283,77.43363,99.11504,0.4424779,16.81416,52.21239,74.77876,99.55752,1.769912,23.00885,46.90265,78.76106,100,0.8849558,29.64602,49.11504,69.02655,97.78761,1.769912,19.9115,40.26549,74.33628,96.46018,0.8849558,32.30088,54.42478,73.00885,100,0.4424779,15.48673,43.36283,77.43363,99.11504,2.212389,21.23894,44.24779,69.9115,97.78761,0.4424779,23.45133,49.11504,74.33628,100,12.38938,37.61062,51.76991,69.02655,91.59292,0.4424779,18.14159,41.15044,65.04425,97.78761,1.327434,24.33628,54.86726,77.43363,99.55752,0.8849558,30.97345,53.09735,76.54867,100,1.327434,19.9115,43.80531,69.46903,99.55752,0.8849558,31.41593,49.55752,69.9115,97.78761,0.4424779,23.89381,60.17699,82.74336,100,0.21333,0.23111,0.2,0.30667,0.18667,0.11111,0.24,0.24444,0.20889,0.32,0.16,0.13778,0.097778,0.0088889,0.13333,0.16,0.2,0.28444,0.32,0.23111,0.12444
trpos2840.txt_allergen_409,0.2905,0.41899,0.2905,0.48045,0.30726,0.21229,0.3352,0.35196,0.31285,0.36872,0.41899,0.21229,0.089385,0.7933,0.11732,0.3352,0.28492,0.37989,0.43017,0.2905,0.27933,2.793296,31.84358,51.39665,78.77095,98.88268,1.675978,21.78771,44.69274,71.50838,99.44134,0.5586592,19.55307,47.48603,78.21229,100,1.675978,22.34637,54.18994,75.41899,100,1.117318,25.13966,53.63128,74.86034,98.88268,0.5586592,23.46369,45.2514,57.5419,99.44134,0.5586592,23.46369,51.95531,78.21229,100,1.675978,16.75978,40.78212,69.27374,98.32402,2.793296,31.84358,51.39665,78.77095,98.88268,1.675978,20.67039,44.69274,70.39106,98.32402,1.117318,26.25698,55.86592,79.32961,100,0.5586592,23.46369,45.2514,57.5419,99.44134,2.793296,26.81564,37.98883,50.83799,88.82682,0.5586592,22.34637,50.27933,73.18436,100,13.96648,30.72626,63.12849,82.12291,95.53073,0.5586592,14.52514,37.98883,62.01117,98.88268,1.117318,24.02235,52.51397,79.88827,100,6.145251,31.28492,56.98324,72.6257,98.32402,1.117318,19.55307,52.51397,75.41899,100,2.793296,31.84358,51.39665,78.77095,98.88268,0.5586592,22.34637,40.22346,65.36313,99.44134,0.29775,0.14045,0.20787,0.30337,0.19663,0.089888,0.19101,0.19101,0.24719,0.30337,0.14607,0.14045,0.13483,0.022472,0.17978,0.21348,0.2191,0.16292,0.22472,0.18539,0.21348
