#name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
0-211.txt_1,-0.6065,-0.7685,-1.1157,-1.3796,-2.0694,-0.6713,-0.6991,-1.7269,-0.9398,-1.2685,-1.287,-0.6157,-0.787,-1.537,-1.7269,-0.7269,-0.7407,-2.0278,-1.0556,-0.9861,6.0558,10.7907,8.8186,12.707,6.7535,6.2605,11.0605,11.3116,13.6558,13.8326,10.2047,8.8558,6.7814,11.7953,8.3907,5.0419,4.493,16.186,11.3116,10.9581
0-211.txt_3,-0.103,-1.4585,-0.7342,-0.7542,-2.0664,-0.9767,-0.8007,-0.8239,-1.402,-1.3654,-1.3654,-1.0532,-0.9967,-1.3455,-1.8272,-0.1661,-0.3123,-2.1894,-1.0598,-0.9103,7.9333,5.5033,9.3467,17.7433,1.7833,4.8467,7.7667,16.6,3.3467,10.8733,10.9567,5.4767,6.98,16.6833,3.49,6.3367,5.79,9.3333,15.1367,11.4
0-211.txt_5,-0.8914,-1.1086,-0.8019,-1.1752,-2,-0.6857,-0.8629,-1.7581,-1.0781,-1.1524,-1.0267,-0.7295,-0.8648,-1.2267,-1.6133,-0.4952,-0.6876,-2.1448,-0.9733,-1.0133,3.8893,7.6126,13.126,11.855,10.0153,7.7996,9.7882,8.7729,10.3855,11.7824,12.3187,9,6.9141,15.1718,11.6164,7.5076,4.6832,12.1393,12.0878,8.1508
0-211.txt_7,-0.4672,-1.0233,-1.4376,-1.4397,-2.5433,-1.2622,-0.871,-1.8753,-1.8182,-0.9387,-0.8879,-0.8414,-1.3256,-1.7653,-1.9979,-0.9514,-0.9175,-3.0254,-1.6533,-0.945,7.6186,13.0784,12.0508,14.7097,11.2097,8.0169,12.0487,15.1335,12.0657,16.7648,15.4301,10.2775,10.3814,14.7627,14,7.0508,7.1059,12.6335,11.5085,12.4216
0-211.txt_9,-1.6136,-1.6894,-1.2424,-1.5379,-3.0152,-0.9697,-0.6894,-2.2273,-1.7803,-1.4167,-1.9697,-0.3333,-1.4773,-1.9848,-3,-0.9091,-0.3712,-3.1136,-1.9394,-0.9621,5.1756,11.4656,14.9924,16.3053,12.4122,10.0305,19.9618,15.9618,8.5191,16.3206,15.3206,22.3282,16.8855,25.9313,6.3359,7.8626,15.0992,22.1756,15.5496,15.0229
0-211.txt_11,-0.8961,-1.1715,-0.6783,-1.2153,-2.6746,-0.9737,-1.1352,-1.5569,-1.567,-1.3267,-1.2954,-0.7222,-1.3004,-1.3892,-2.1101,-0.4869,-0.6133,-2.4393,-1.194,-1.1064,5.2807,12.1366,16.4975,15.1266,3.7306,9.218,10.688,16.2556,9.3371,16.287,14.0677,11.7143,6.9687,18.4511,9.9912,8.906,7.3183,12.5977,13.4023,13.2343
0-211.txt_13,-0.6812,-1.1256,-1.314,-1.3623,-2.744,-1.0676,-0.8019,-2.2367,-1.4638,-0.599,-0.9903,-0.5507,-1.1884,-1.6908,-2.1111,-1.0435,-0.7826,-3.2802,-1.9807,-0.8261,7.0777,10.8689,14.5534,16.9757,7.8495,8.8883,11.0583,14.7233,12.6699,20.7767,15.9951,12.2718,10.6845,12.6262,11.9854,7.4903,7.8883,14.9903,7.966,13.2039
0-211.txt_15,-1.009,-1.5136,-1.0136,-1.8529,-2.4163,-0.9412,-1.4525,-2.043,-1.7059,-0.7081,-0.7647,-1.0136,-1.009,-1.1176,-2.1652,-0.7036,-0.6131,-2.4276,-1.1606,-0.8778,5.2562,9.0998,12.161,10.9184,4.8118,11.4694,8.8685,14.0249,8.0249,17.5397,14.3855,9.8889,5.9025,18.8073,10.746,9.3628,7.2608,13.2585,13.1202,11.1655
0-211.txt_17,-0.2364,-0.8499,-0.6321,-1.0257,-1.9984,-0.2189,-0.5224,-1.2888,-1.0142,-1.6043,-1.4629,-0.5,-0.9383,-2.0573,-0.5005,0.2838,-5.00E-04,-2.6152,-1.6217,-1.1905,4.3905,5.7799,6.7242,6.1158,4.1218,6.6537,5.8995,6.4358,8.7662,6.9612,7.7078,4.7706,6.4347,6.8536,16.7597,6.0606,5.9776,3.7996,5.9274,6.1562
0-211.txt_19,-0.8098,-0.6442,-0.8282,-1.0061,-2.2025,-0.1656,-0.4417,-1.7301,-1.3129,-1.2515,-1.1472,-0.546,-0.5644,-1.6933,-1.4847,-0.6258,-0.589,-2.3129,-1.4049,-1.0368,4.2407,10.2284,10.2901,16.8333,3.0247,7.7901,11.216,9.537,4.0185,10.2531,12.8272,8.963,7.9136,9.2963,10.1605,5.2901,4.8519,12.463,4.8642,7.8025
