#name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240
trpos2840.txt_allergen_93,0.859,-0.3182,0.6607,-0.5468,0.7769,-0.5484,1.1755,-0.6277,1.5506,-0.7133,0.605,-0.4456,1.1958,-0.5436,1.4957,-0.6684,1.2633,-0.5673,1.3162,-0.7284,0.9615,-0.726,1.1901,-0.4486,0.8332,-0.5172,1.0679,-0.823,1.7023,-0.6251,0.7418,-0.3409,0.859,-0.2589,0.9888,-0.925,1.4541,-0.6192,1.1721,-0.5619,2.1122,-2.0392,2.5393,-2.6452,2.1836,-2.1965,2.1155,-2.1778,2.071,-2.2512,2.2907,-2.2191,1.8005,-1.8747,2.1095,-2.3915,1.8904,-1.896,1.9833,-2.1022,1.253,-1.1934,0.9858,-1.0175,1.078,-1.041,0.811,-0.8721,1.0872,-1.0014,1.1725,-1.2261,1.2118,-1.1752,1.4474,-1.1527,1.3444,-1.1902,1.1688,-0.9849,1.1117,-1.1728,1.0721,-1.0781,1.2375,-1.2407,1.0768,-1.1588,0.9482,-1.0085,1.7998,-2.0419,1.7857,-1.6779,2.3252,-2.3369,1.8543,-1.6187,2.0583,-2.189,2.539,-2.3759,1.8692,-2.0539,2.4576,-2.1686,1.7787,-1.5296,2.5667,-2.0382,1.2201,-0.98,1.281,-1.1117,1.07,-1.1277,1.2463,-1.0552,1.2925,-0.9798,3.0568,-2.9782,2.7729,-2.4438,2.5031,-2.2398,2.5295,-2.3954,2.9544,-2.5882,1.5583,-1.5712,2.2942,-2.0221,2.1156,-1.9966,1.8803,-1.896,1.8485,-1.4328,2.5579,-2.7753,3.252,-3.5917,2.3248,-2.7304,2.329,-2.7095,2.2551,-2.8366,2.1314,-1.9454,2.7264,-2.3335,2.4107,-2.2937,2.1727,-1.9937,2.5947,-2.1371,2.4462,-2.6097,2.6176,-2.5171,2.7658,-2.5885,3.0485,-3.13,2.9548,-3.1314,2.4875,-2.7251,2.2258,-2.4013,2.1548,-2.3791,2.0182,-2.4995,2.4542,-2.8783,0.8952,-0.9272,1.0667,-0.9987,0.7189,-0.7104,0.9004,-0.7529,0.9064,-0.8505,1.1269,-1.3348,0.9787,-1.1714,1.1824,-1.4991,1.1418,-1.3908,1.1296,-1.5571,2.1128,-2.5082,2.2286,-2.4651,2.1604,-2.5738,1.9881,-2.7372,2.0784,-2.7046,1.4914,-1.6371,1.2895,-1.6365,1.1915,-1.3469,1.1786,-1.4617,1.2036,-1.4061,0.903,-0.8981,0.9722,-0.7794,0.8257,-0.8304,0.8764,-0.9565,0.9695,-0.8847,1.4772,-1.435,1.6059,-1.5413,1.5288,-1.5913,1.2176,-1.1,1.4571,-1.5098
trpos2840.txt_allergen_1025,1.0168,-0.2698,1.0145,-0.54,1.1387,-0.5781,0.769,-0.6953,2.4628,-0.6516,0.7977,-0.4392,0.6041,-0.5531,1.2772,-0.5989,0.8936,-0.6223,1.0181,-0.7421,1.0572,-0.6635,1.0306,-0.4461,1.0026,-0.5055,0.7781,-0.8339,1.4194,-0.6102,0.9084,-0.4043,0.7055,-0.1858,1.2394,-0.944,0.9795,-0.6325,1.0805,-0.5893,2.2848,-2.3428,2.1899,-2.3509,1.9371,-1.7791,1.5573,-1.912,2.3309,-2.1113,1.1885,-1.3201,1.1117,-0.9927,0.9976,-1.0002,1.214,-1.125,1.203,-1.057,0.5695,-0.6337,0.7256,-0.7688,0.8533,-0.8621,0.7689,-0.9304,0.8545,-0.9922,0.9939,-0.9353,1.1069,-1.0661,1.0629,-0.9916,0.9904,-1.2017,0.924,-1.0481,1.461,-1.7223,1.402,-1.489,1.3592,-1.5394,1.3802,-1.3051,1.3713,-1.6245,1.864,-2.4875,1.8644,-2.6488,2.0349,-2.512,2.3539,-3.1902,2.4342,-3.3829,1.1008,-1.9174,0.9038,-1.3383,0.953,-1.5108,0.9024,-1.3566,1.0918,-1.8974,1.6976,-1.1749,1.5572,-1.0357,1.574,-0.9343,1.4633,-0.9043,1.7818,-0.887,1.7852,-1.7351,1.4846,-1.621,1.3771,-1.123,1.3491,-1.5099,1.5016,-1.6795,2.1071,-2.7521,1.9334,-2.3417,1.4713,-1.7332,1.4546,-1.8391,2.066,-2.5522,2.5551,-2.4968,2.4204,-2.3657,2.0356,-1.8332,1.6489,-1.5467,2.3853,-2.1691,0.8416,-1.0062,0.791,-0.8412,0.6024,-0.7844,0.7335,-0.9356,0.7915,-1.0622,2.4764,-2.5211,2.5746,-3.1656,2.0203,-2.395,1.7772,-1.8383,2.2719,-2.6178,0.7984,-0.7159,0.6499,-0.7185,0.6571,-0.4894,0.6119,-0.6414,0.8419,-0.643,1.2459,-0.9663,1.0042,-0.8163,1.0561,-0.7787,1.059,-1.0277,1.3183,-0.9132,3.3018,-3.5172,3.397,-3.2994,3.3571,-4.0236,3.5516,-3.9878,3.6305,-4.2524,1.2452,-1.2036,0.9144,-0.8573,1.1785,-1.1558,1.2123,-0.8951,1.1962,-1.2569,2.1071,-1.9361,2.0771,-1.621,1.8417,-1.8214,2.0113,-1.848,2.2982,-2.1201,1.8097,-1.7854,1.6769,-1.6554,1.4645,-1.353,1.5638,-1.4931,1.6428,-1.3769,1.5772,-1.5467,2.0212,-1.7306,1.9596,-1.6477,1.9968,-1.7409,2.2392,-1.7543
trpos2840.txt_allergen_3152,0.8932,-0.3693,0.7285,-0.5717,0.9702,-0.6141,0.819,-0.7123,1.8592,-0.8651,0.9096,-0.4266,0.8283,-0.5328,1.0763,-0.757,1.0073,-0.5928,0.9963,-0.7461,0.8869,-0.6887,0.8132,-0.4948,0.9284,-0.5635,0.8483,-0.8143,1.2617,-0.6933,0.7468,-0.406,0.6921,-0.3482,1.8237,-1.0267,1.2445,-0.6313,0.9658,-0.6409,1.8214,-1.6399,2.0213,-1.7978,2.0654,-1.7123,1.9689,-1.7777,2.0328,-2.1976,2.3827,-2.4756,2.3193,-2.6322,2.4997,-2.4679,2.2598,-2.5911,2.2276,-2.5151,3.043,-3.2654,3.5392,-3.1545,3.5341,-3.182,2.9118,-3.1463,3.5864,-3.307,1.0935,-1.101,1.0746,-1.1503,1.0565,-1.1031,0.9981,-0.7622,1.1823,-1.0471,1.1791,-1.1291,0.9395,-0.9389,1.1055,-1.1739,1.1661,-1.1428,1.0739,-1.1388,1.9507,-2.0443,2.0062,-2.1921,1.8345,-2.0817,2.2708,-2.2098,2.1435,-2.2733,1.5129,-1.6641,1.8348,-2.0569,1.8894,-1.9419,1.3897,-1.7831,1.3595,-1.8489,1.6089,-1.7008,1.3528,-1.4346,1.573,-1.3652,1.5655,-1.6537,1.3755,-1.6326,1.237,-0.9231,1.46,-1.2321,1.3462,-1.1196,1.3168,-1.0779,1.2673,-1.1245,1.2321,-1.3297,1.2357,-1.3577,1.3147,-1.3657,1.2294,-1.2942,1.4678,-1.4824,1.5787,-2.0261,1.7075,-2.322,1.7521,-2.2583,1.4689,-1.8785,1.6037,-2.3253,1.7419,-2.1441,1.8012,-2.1268,1.7625,-2.067,1.8348,-1.9062,1.8733,-2.0657,2.8146,-2.4363,2.3976,-2.0311,2.8614,-2.056,2.3402,-1.9998,2.5897,-2.0687,1.2892,-1.0755,1.2074,-1.1653,1.0891,-1.078,1.2016,-1.1752,1.3701,-1.2996,1.5271,-1.5904,1.6192,-1.528,1.4183,-1.2009,1.4438,-1.2536,1.4089,-1.5393,2.4254,-2.5888,2.873,-2.7037,2.5775,-2.6772,2.7576,-2.7641,2.686,-2.7059,1.6259,-1.432,1.651,-1.5595,1.7232,-1.6712,1.2295,-1.3576,1.7867,-1.6007,2.0059,-2.3985,1.9633,-2.3572,1.7728,-2.3211,1.7471,-2.0667,1.9399,-2.6847,1.0704,-1.1166,1.3118,-1.2736,1.2012,-1.1133,1.0756,-1.0385,0.9911,-1.0664,1.3608,-1.5801,1.4303,-1.2813,1.5344,-1.4823,1.3135,-1.2716,1.7096,-1.7118
trpos2840.txt_allergen_2406,0.6748,-0.3964,0.9141,-0.5559,0.8019,-0.6702,1.0099,-0.7789,0.8091,-0.7273,0.7395,-0.4698,0.9599,-0.6184,1.2543,-0.8305,0.8877,-0.5423,1.1855,-0.7878,1.1842,-0.7149,1.0119,-0.5007,0.8336,-0.5134,1.0051,-0.8266,1.3268,-0.8208,0.653,-0.428,0.6351,-0.3401,1.1508,-1.0461,1.0467,-0.6214,0.976,-0.6614,1.6763,-1.675,2.1197,-2.0387,1.9018,-1.7496,2.0219,-1.8799,2.0329,-1.8725,1.95,-1.8116,1.8998,-1.9611,1.8979,-1.8885,2.0522,-1.9758,1.9436,-1.86,2.0625,-1.9604,2.2539,-2.1953,2.1259,-1.9505,2.1721,-2.1671,2.1988,-2.1846,0.9922,-1.0007,0.9253,-0.9471,0.8995,-0.981,0.9595,-0.8675,0.8202,-0.8147,0.9401,-0.968,1.0195,-1.1221,1.1363,-1,1.1249,-0.9475,1.0659,-0.9193,2.0855,-2.2071,2.2871,-2.6574,2.1703,-2.5266,2.1317,-2.6776,2.4434,-2.5974,2.3375,-2.2002,2.5723,-2.43,2.5735,-2.257,2.4928,-2.1251,2.443,-2.2539,1.6214,-1.4917,1.531,-1.6328,1.259,-1.2656,1.4115,-1.4695,1.4259,-1.6408,1.5803,-1.672,1.837,-2.0199,1.346,-1.5475,1.441,-1.6525,1.3967,-1.6983,2.5047,-2.2116,2.6811,-2.6669,2.3914,-2.119,2.4656,-2.2109,2.42,-2.339,2.4226,-2.4575,2.9216,-3.091,2.4843,-2.3476,2.7555,-2.6668,2.7777,-2.7221,1.5414,-1.4963,1.4932,-1.6996,1.5709,-1.4455,1.6344,-1.4862,1.7161,-1.7055,2.5572,-2.506,2.3639,-2.3777,2.4153,-2.3307,2.5361,-2.713,2.0846,-2.5103,1.9723,-1.7794,1.9919,-2.0584,1.5584,-1.9249,1.864,-1.9638,1.8016,-2.0056,1.2528,-1.107,1.2634,-1.2574,0.9591,-1.014,1.1266,-1.1061,1.1231,-1.0814,1.5048,-1.3638,1.4517,-1.407,1.7772,-1.4731,1.7101,-1.463,1.6664,-1.628,2.1772,-2.1744,2.1756,-2.0926,1.8483,-1.9612,2.2144,-2.2399,2.4358,-2.1763,1.5016,-1.5416,1.596,-1.6481,1.4623,-1.4402,1.4267,-1.6592,1.6805,-1.6852,1.5651,-1.6133,1.7979,-1.8565,1.4705,-1.3912,1.5929,-1.4724,1.6432,-1.7192,0.8837,-0.9506,0.8948,-1.0194,0.9927,-1.0607,0.8895,-1.0359,0.8965,-0.984
trpos2840.txt_allergen_3270,0.9021,-0.301,0.9017,-0.4768,0.9715,-0.5016,1.0438,-0.6142,2.5006,-0.6261,0.8068,-0.3839,0.6938,-0.4684,1.6255,-0.6124,0.8819,-0.5291,0.98,-0.6891,0.8628,-0.7207,0.7039,-0.3975,0.7944,-0.4508,1.4696,-0.8194,1.8723,-0.5719,0.8247,-0.4022,0.9003,-0.2511,1.4712,-0.8666,1.1557,-0.6201,0.894,-0.5703,1.6993,-1.4487,1.4625,-1.3675,1.5061,-1.3883,1.5638,-1.6425,1.5177,-1.4903,1.8866,-1.6258,1.5586,-1.5846,1.7962,-1.7061,1.5896,-1.7446,1.8356,-1.6273,1.72,-1.6246,1.8337,-2.007,1.9007,-1.7495,1.9297,-2.0027,1.7602,-1.6844,2.0206,-2.1647,1.7078,-1.7293,1.6907,-1.8722,1.6257,-1.8096,1.7648,-2.0653,1.5552,-1.601,1.4885,-1.2916,1.5282,-1.4688,1.4471,-1.4748,1.471,-1.5574,2.4652,-2.7924,2.4057,-3.1388,2.7318,-3.2135,2.7686,-3.2139,2.2505,-2.808,2.8098,-2.5164,2.4404,-2.3986,2.6703,-2.5107,2.4598,-2.3237,2.5605,-2.4315,0.9853,-0.8756,0.8717,-0.7113,0.9328,-0.8651,1.0157,-0.8346,1.1072,-0.9098,0.9337,-0.9167,0.8023,-0.8479,1.0141,-0.8863,0.8123,-0.8336,0.8911,-0.9679,1.654,-1.7135,1.58,-1.356,1.5742,-1.718,1.6913,-1.5497,1.6395,-1.5527,1.6209,-1.7758,1.4025,-1.5276,1.5273,-1.7721,1.4758,-1.64,1.4541,-1.654,1.404,-1.3002,1.2407,-1.1807,1.2944,-1.1982,1.1597,-1.193,1.325,-1.1902,3.1059,-3.0274,3.4838,-3.5605,3.6075,-3.6721,3.269,-3.6169,3.7813,-3.8794,0.9961,-1.0597,0.8385,-1.0096,0.8493,-0.9409,0.9034,-0.9331,0.8702,-0.9829,1.3102,-1.1472,1.1215,-1.0907,1.215,-1.3958,1.0964,-1.0779,1.2278,-1.1744,2.8464,-3.4092,2.9663,-3.5092,3.0197,-3.7619,2.7589,-3.4221,2.8141,-3.3414,1.8518,-1.742,1.7578,-1.6517,1.738,-1.683,2.0278,-1.6421,1.8717,-1.5184,1.9514,-1.8659,1.6172,-1.4249,2.0212,-1.7675,1.8027,-1.6916,2.0815,-1.6185,1.1861,-1.3086,1.0585,-1.1851,1.2148,-1.3082,0.9602,-1.0123,1.0715,-1.3394,1.6514,-1.457,1.8575,-1.5096,1.6816,-1.4543,1.5599,-1.3146,1.8081,-1.3435
trpos2840.txt_allergen_2992,0.951,-0.3337,1.0957,-0.4878,1.0847,-0.543,1.2606,-0.6282,1.8615,-0.6879,0.9683,-0.3743,0.8742,-0.4626,1.3764,-0.6884,1.0837,-0.5096,1.2539,-0.7017,1.0612,-0.6878,0.8868,-0.4195,0.9101,-0.4797,1.1971,-0.8214,1.7976,-0.641,0.9984,-0.3755,1.0357,-0.2707,1.7582,-0.8963,1.5353,-0.636,1.0859,-0.5657,1.8186,-1.5779,1.9186,-1.7003,2.0002,-1.7028,2.0041,-1.7165,2.0435,-1.8048,2.3306,-2.3617,2.5172,-2.4034,2.5136,-2.5993,2.5804,-2.5436,2.3992,-2.4267,2.1896,-2.2206,2.1378,-2.2495,2.1809,-2.2242,2.0835,-2.0619,2.0694,-2.2666,1.6379,-1.6193,1.4479,-1.4853,1.5519,-1.5807,1.4629,-1.4962,1.4665,-1.4381,1.6262,-1.4962,1.4356,-1.4552,1.4528,-1.4169,1.5251,-1.4989,1.4354,-1.3391,2.1329,-2.2882,2.3872,-2.238,2.4766,-2.4538,2.2981,-2.2528,2.316,-2.3397,2.3041,-2.3329,2.4206,-2.2458,2.3473,-2.2559,2.2399,-2.156,2.3343,-2.2602,1.2243,-1.0294,1.1889,-1.0721,1.0651,-0.9922,1.1072,-0.9695,1.2852,-1.0981,1.0512,-1.1699,1.2303,-1.1656,1.0156,-1.0822,1.0288,-1.1645,1.2321,-1.314,1.8748,-1.9154,1.9222,-1.9886,1.8199,-2.0085,1.718,-1.8356,1.8653,-1.9723,2.1791,-2.1952,2.2819,-2.4043,2.2782,-2.153,1.9808,-2.0294,2.3295,-2.3552,1.2038,-1.1504,1.2144,-1.1711,1.2083,-1.2248,1.2286,-1.1564,1.2007,-1.2258,2.4955,-2.7845,2.47,-2.7821,2.671,-2.7099,2.5696,-2.7962,2.498,-2.8843,1.1277,-1.3101,1.2945,-1.4558,1.2289,-1.2615,1.16,-1.2191,1.1676,-1.2789,1.347,-1.3365,1.3612,-1.3322,1.256,-1.3728,1.1629,-1.1773,1.331,-1.3367,1.1925,-1.2088,1.1877,-1.2228,1.1184,-1.1781,1.1423,-1.2081,1.2283,-1.2337,2.3583,-2.2672,2.4613,-2.3612,2.4978,-2.3004,2.3121,-2.2746,2.4492,-2.3745,1.9731,-2.0088,1.9155,-2.0285,1.9805,-2.055,1.9551,-1.926,1.9247,-2.1267,1.166,-1.1094,1.2946,-1.2757,1.1819,-1.2391,1.269,-1.2168,1.4299,-1.241,1.4564,-1.523,1.4601,-1.5286,1.558,-1.4893,1.5447,-1.537,1.4317,-1.5045
trpos2840.txt_allergen_499,0.7903,-0.3625,0.9492,-0.527,0.9153,-0.5998,1.0786,-0.658,1.1988,-0.7988,0.7767,-0.4435,0.8689,-0.5037,1.2583,-0.7202,1.0919,-0.5906,1.0144,-0.759,1.0552,-0.712,0.8086,-0.4883,0.9038,-0.5249,1.0961,-0.8522,1.6546,-0.6841,0.8934,-0.4094,0.8807,-0.3324,1.6589,-0.9609,1.2242,-0.6643,1.0752,-0.5834,1.7452,-1.8725,1.8006,-1.9651,1.9252,-1.9873,1.8084,-2.0215,1.7422,-1.9753,2.092,-1.8981,2.1736,-2.1634,2.2202,-2.1725,2.1973,-2.0293,2.0105,-1.9518,2.227,-2.426,2.3536,-2.4225,2.4206,-2.3882,2.4239,-2.5423,2.268,-2.3894,1.3649,-1.4072,1.4872,-1.3126,1.3706,-1.3082,1.404,-1.3198,1.4471,-1.3479,1.3032,-1.4491,1.3247,-1.4489,1.4222,-1.5063,1.4618,-1.5723,1.2332,-1.4374,2.4941,-2.8581,2.4512,-2.7886,2.3674,-2.8187,2.7183,-2.9631,2.4752,-2.8837,2.1068,-2.3395,2.3622,-2.5255,2.3607,-2.4049,2.5147,-2.4613,2.4366,-2.4362,1.2361,-1.1898,1.2608,-1.2242,1.3805,-1.3353,1.455,-1.443,1.311,-1.3194,1.3737,-1.2332,1.3925,-1.2404,1.2821,-1.2027,1.4066,-1.3617,1.3885,-1.1684,1.9219,-1.8347,2.0022,-1.9661,2.1228,-1.981,2.1681,-2.3536,2.0437,-2.018,1.8902,-1.9925,1.8554,-1.8923,1.9804,-2.151,1.9418,-2.1387,1.8381,-2.0815,1.5931,-1.7646,1.789,-1.8518,1.543,-1.5257,1.7022,-1.6971,1.7206,-1.7435,2.6992,-2.4122,2.8821,-2.6051,2.9269,-2.577,2.79,-2.6338,2.8989,-2.7516,1.4534,-1.381,1.258,-1.2525,1.3858,-1.399,1.4462,-1.3871,1.3296,-1.3118,1.1486,-1.2666,1.1902,-1.2522,1.1996,-1.3525,1.1529,-1.2572,1.0233,-1.2321,1.0365,-1.1887,1.107,-1.1846,1.0952,-1.1266,1.1664,-1.2584,1.1799,-1.1806,2.0179,-2.2131,2.0315,-2.2447,2.1205,-2.2293,2.322,-2.4416,2.2095,-2.4139,1.4535,-1.7436,1.5775,-1.8306,1.5344,-1.9886,1.7388,-2.0475,1.663,-2.0121,1.4278,-1.3921,1.4751,-1.4441,1.5206,-1.466,1.3782,-1.4454,1.4975,-1.4761,1.1624,-1.1929,1.2189,-1.0979,1.1895,-1.293,1.1525,-1.0735,1.2771,-1.1499
trpos2840.txt_allergen_3177,0.8839,-0.3517,0.8748,-0.5481,1.0195,-0.5569,0.9965,-0.6625,1.6445,-0.7552,0.8385,-0.4061,0.591,-0.5114,1.4378,-0.7309,0.8307,-0.5778,1.0279,-0.6773,0.8978,-0.6928,0.7962,-0.4705,0.9988,-0.5641,1.1069,-0.8494,1.4983,-0.6813,0.818,-0.3429,0.767,-0.294,1.6648,-0.9601,1.1474,-0.6541,1.0588,-0.572,1.6226,-1.8908,1.649,-1.7843,1.709,-1.8147,2.0294,-1.9721,1.8088,-1.9403,2.2509,-1.7986,2.215,-1.9599,2.3832,-2.1466,1.9238,-1.6882,2.1679,-1.9529,2.4315,-2.3924,2.6144,-2.5334,2.5799,-2.5173,2.4314,-2.2001,2.7349,-2.6359,1.2583,-1.2615,1.0837,-1.0534,1.2463,-1.1989,1.2828,-1.129,1.2084,-1.2353,1.3925,-1.181,1.2518,-1.186,1.4981,-1.1358,1.4485,-1.2058,1.4642,-1.1273,1.6851,-2.1244,2.3631,-2.6889,2.5672,-2.7517,2.7117,-2.6028,2.4456,-2.5789,2.3277,-2.1008,2.085,-2.055,2.1373,-2.3729,2.0441,-2.0233,2.2623,-2.1621,1.5885,-1.3551,1.2984,-1.2477,1.7195,-1.3006,1.6015,-1.5843,1.8021,-1.6504,1.1743,-1.3917,1.0579,-1.0568,1.1021,-1.076,1.1617,-1.219,1.0243,-1.0355,1.5444,-1.6346,1.2813,-1.3486,1.6142,-1.6362,1.6585,-1.6568,1.4085,-1.6276,1.6465,-1.6931,1.6477,-1.5667,1.7368,-1.6479,1.8988,-1.753,1.8192,-1.7521,1.3304,-1.2523,1.2421,-1.1323,1.2811,-1.3836,1.1493,-1.2798,1.1759,-1.0566,3.0828,-2.9564,3.4484,-2.9849,3.7433,-3.6062,3.9847,-3.4425,3.7742,-3.3562,0.8622,-0.9261,0.6957,-0.8076,0.7217,-0.7669,0.7281,-0.77,0.6992,-0.7541,1.3437,-1.1996,1.2459,-1.2863,1.078,-1.0799,1.2178,-1.1054,1.1502,-1.222,2.1523,-1.9895,2.4718,-2.1448,2.3332,-2.0066,2.7279,-2.3556,2.4692,-2.3236,1.6998,-1.6098,1.4974,-1.4068,1.7593,-1.8062,1.6711,-1.6671,1.6814,-1.7538,2.0358,-1.7138,1.6085,-1.6843,2.0577,-1.8846,1.8875,-1.759,1.7359,-1.6025,1.383,-1.3632,1.3547,-1.4035,1.3832,-1.3824,1.4736,-1.3357,1.2862,-1.2284,1.5447,-1.5597,1.4567,-1.5214,1.6671,-1.4945,1.5804,-1.4813,1.4849,-1.3434
trpos2840.txt_allergen_876,0.9258,-0.3183,1.0008,-0.4678,1.0215,-0.5032,1.02,-0.6073,2.5742,-0.6587,0.8059,-0.392,0.6889,-0.4546,1.453,-0.595,0.8796,-0.4974,0.9419,-0.6624,0.9552,-0.6978,0.717,-0.4014,0.8752,-0.4366,1.5925,-0.8374,2.0498,-0.5729,0.8369,-0.3523,0.9538,-0.2398,1.175,-0.8945,1.1966,-0.6336,0.7611,-0.5559,1.3855,-1.2418,1.4049,-1.1339,1.2725,-1.2223,1.4676,-1.49,1.2977,-1.4821,2.0179,-1.8255,1.5912,-1.7083,1.9224,-1.8453,1.6495,-1.7686,1.9957,-1.7483,1.7818,-1.645,1.6412,-1.5811,1.8611,-1.5179,1.6656,-1.6999,1.6195,-1.5108,2.094,-2.18,1.892,-1.8361,1.9276,-1.9885,1.766,-1.8313,1.6881,-1.864,1.4841,-1.5089,1.3862,-1.2307,1.3684,-1.3641,1.3724,-1.4505,1.441,-1.5059,2.687,-2.8758,2.5788,-3.2932,3.073,-3.4556,2.8918,-3.2465,2.5363,-3.0233,2.9079,-2.6861,2.5821,-2.5896,2.9672,-2.6285,2.5615,-2.4134,2.5985,-2.5764,0.9077,-0.8869,0.8928,-0.7372,0.9474,-0.866,1.1381,-0.8843,1.097,-0.8994,0.9323,-1.0312,0.8715,-0.8369,0.9843,-0.8691,0.945,-0.8065,0.9404,-0.9129,1.5163,-1.8503,1.2997,-1.4355,1.5205,-1.8297,1.5718,-1.6864,1.5599,-1.712,1.3836,-1.6377,1.2605,-1.4127,1.4351,-1.6351,1.4086,-1.5343,1.4628,-1.6749,1.2017,-1.1832,1.2107,-1.1373,1.0296,-1.0178,1.0808,-1.0305,1.1556,-1.0933,2.7949,-2.5849,3.2526,-3.0554,3.4242,-3.202,3.0308,-3.2105,3.4936,-3.322,1.0296,-1.0209,0.8285,-0.9211,0.8888,-0.9406,0.9345,-0.8791,0.8845,-0.9019,1.2444,-1.1057,1.1107,-1.1834,1.2116,-1.3505,1.1483,-1.1672,1.2221,-1.2372,3.5463,-3.0398,3.4226,-3.3021,3.5253,-3.4935,3.0958,-3.1265,3.0239,-2.7966,1.877,-1.8338,1.8315,-1.7448,1.6889,-1.7093,2.01,-1.7338,1.9182,-1.6636,2.087,-2.1191,1.8496,-1.5276,2.1762,-2.023,1.8829,-1.8392,2.3661,-1.9587,1.3753,-1.5196,1.1557,-1.3303,1.2555,-1.3302,1.0625,-1.1404,1.2033,-1.507,1.5899,-1.4832,1.8204,-1.7493,1.7581,-1.4219,1.4609,-1.2422,1.8045,-1.3338
trpos2840.txt_allergen_409,0.8259,-0.2832,1.1658,-0.3954,0.9046,-0.681,0.8943,-0.7179,0.8969,-0.6309,0.7768,-0.3317,0.8795,-0.476,1.132,-0.7006,0.6892,-0.505,1.3876,-0.7821,1.1632,-0.7271,0.7384,-0.3544,0.8411,-0.3658,0.7396,-0.8157,1.7283,-0.4081,0.9422,-0.3578,0.5254,-0.2121,1.4404,-0.9039,0.8368,-0.6091,1.1737,-0.6588,2.1558,-2.3616,2.1328,-2.4305,2.2299,-2.559,2.252,-2.2857,2.3168,-2.8543,1.8473,-1.8369,2.0437,-1.9277,1.6106,-1.8059,1.6966,-1.7143,1.7037,-1.6361,1.5599,-1.2356,1.7922,-1.4249,1.6174,-1.4715,1.539,-1.5544,1.4585,-1.302,0.9349,-0.8423,0.9342,-1.0377,0.9068,-0.8559,1.0307,-1.0476,1.0244,-0.8343,2.0219,-1.8391,2.2206,-2.3173,2.158,-2.1328,1.9877,-1.9814,2.3241,-2.3084,2.1956,-2.4111,2.2657,-2.4324,2.3815,-2.5184,2.1694,-2.3377,2.0364,-2.3222,1.589,-1.7212,1.9418,-1.6512,1.6096,-1.7274,1.5548,-1.4762,1.6152,-1.5169,1.2341,-0.9414,1.3185,-1.142,1.2431,-1.1352,1.3468,-1.1186,1.4739,-1.1842,1.2673,-1.2004,1.4407,-1.24,1.3726,-1.2836,1.282,-1.1955,1.4154,-0.9797,1.9537,-1.5857,2.0554,-1.7576,2.1524,-2.004,2.1301,-1.9072,2.403,-2.1796,2.4699,-2.4244,2.3818,-2.6952,2.6856,-2.7844,2.4102,-2.4997,2.615,-3.048,1.202,-1.2667,1.117,-1.3551,1.3466,-1.4041,1.471,-1.5535,1.2407,-1.3224,3.4645,-3.554,3.7504,-3.2066,3.2108,-3.4009,3.3951,-3.3996,3.0531,-3.4124,1.644,-1.4821,1.8159,-1.5402,1.8046,-1.414,1.5908,-1.613,1.8387,-1.6179,1.3884,-1.3032,1.3059,-1.0936,1.3979,-1.2464,1.2424,-1.2364,1.3319,-1.3184,2.086,-2.5995,2.3875,-3.2004,2.2956,-2.782,2.4127,-2.7739,2.5689,-2.915,2.0808,-2.2968,2.2103,-2.4048,2.5564,-2.4111,2.2685,-2.368,2.5308,-2.9419,1.7348,-1.6415,1.8216,-1.7668,2.0825,-1.6493,1.9811,-1.6502,1.9226,-1.8642,1.5474,-1.5736,1.4757,-1.3594,1.8141,-1.7909,1.6544,-1.6113,1.6751,-1.5553,1.2338,-1.4416,1.6951,-1.728,1.7689,-1.5767,1.3862,-1.4253,1.4808,-1.274
