#name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
trneg2840.txt_non-allergen_24037,-0.8947,-0.6842,-1.2947,-1.9368,-1.6737,-0.6842,-1.4421,-1.8632,-1.4632,-1.3474,-1.1158,-0.8105,-1.0632,-1.6947,-1.4211,-0.6632,-0.5158,-2.6,-1.6526,-1.3158
trneg2840.txt_non-allergen_6637,-0.4976,-0.9469,-1.3092,-1.6763,-1.8309,-0.6957,-0.8841,-1.7343,-1.3623,-1.5942,-1.6039,-0.7198,-1.2222,-2.2947,-1.058,-0.3043,-0.4058,-3.1159,-1.9372,-0.9807
trneg2840.txt_non-allergen_25654,-1.1612,-0.9194,-1.4855,-1.6012,-1.9917,-0.9773,-0.9793,-2.3512,-1.2603,-1.5764,-1.3946,-0.6963,-1.1756,-2.1674,-1.6529,-0.4917,-0.9277,-3.374,-1.9773,-1.4483
trneg2840.txt_non-allergen_36594,-0.5783,-1.6988,-1.747,-2.3494,-1.8675,-1.253,-1.6506,-1.9036,-2.0482,-0.3976,-0.5904,-1.4217,-0.3012,-0.8193,-2.0723,-0.8916,-0.5181,-1.7711,-1,-0.3494
trneg2840.txt_non-allergen_25027,-0.9176,-1.2022,-1.1835,-1.427,-2,-0.764,-0.9176,-2,-1.3146,-1.3371,-1.221,-0.9326,-0.839,-1.4419,-1.7491,-0.5693,-0.5581,-2.3333,-1.0824,-1.0936
trneg2840.txt_non-allergen_16298,-0.6753,0.48,-0.7388,-0.4588,-3,0.2188,0.2024,-1.7176,-0.9176,-2.1529,-1.6682,0.4706,-1.3012,-2.6071,-1.7835,-0.2212,-0.8894,-3.0071,-1.8776,-1.8494
trneg2840.txt_non-allergen_8844,-0.645,-1.0505,-0.829,-1.0717,-1.3746,-0.5977,-1.0717,-1.4723,-0.7524,-1.4169,-1.3355,-0.8518,-1.2801,-1.7638,-1.5554,0.1124,-0.2932,-2.3518,-1.6547,-1.0619
trneg2840.txt_non-allergen_29105,-0.4,-0.4222,-0.7689,-1.3733,-1.8756,-0.3511,-0.6178,-1.8133,-1.0578,-1.1689,-1.2222,-0.3911,-0.8178,-1.7956,-1.7378,-0.3067,-0.3289,-2.5378,-1.4222,-0.8533
trneg2840.txt_non-allergen_10602,-0.3914,0.1639,-0.7889,-0.8914,-2.9119,0.7766,1.0246,-2.2377,-1.3156,-1.75,-0.8238,0.4652,-1.2234,-2.8156,-2.2213,-0.2828,-0.8258,-3.5082,-2.5389,-1.625
trneg2840.txt_non-allergen_10422,-0.5655,-0.8512,-0.8988,-1.3065,-1.7946,-0.4732,-0.5625,-1.8929,-1.1399,-1.0595,-0.9048,-0.619,-0.619,-1.506,-1.5208,-0.4226,-0.4613,-2.3304,-1.247,-0.8244
trneg2840.txt_non-allergen_11457,-1.1085,-1.6617,-0.7638,-1.6298,-2.2,-1.2106,-1.3511,-1.4979,-1.6532,-1.2298,-1.9191,-1.2638,-1.4723,-2.1702,-1.9149,-0.4468,-0.4936,-2.6213,-1.6936,-1.2723
trneg2840.txt_non-allergen_15433,-0.6452,-2.0363,-1.3911,-2.0968,-1.9516,-1.3911,-1.5806,-1.7339,-1.7944,-0.5,-0.621,-1.4718,-0.6371,-1.2097,-1.3185,-0.0524,-0.4758,-2.7823,-1.5363,-0.5927
trneg2840.txt_non-allergen_10982,-0.8946,-0.9338,-1.3419,-1.2959,-2.2986,-0.7959,-0.8797,-1.8216,-1.3932,-1.0662,-1.0405,-0.5703,-0.9797,-1.7703,-1.9054,-0.7122,-0.8892,-3.3311,-1.9027,-0.9703
trneg2840.txt_non-allergen_7969,-0.9717,-1.2862,-1.3852,-1.4841,-2.5018,-0.8799,-0.8905,-1.9046,-1.2261,-1.371,-1.2155,-1.0636,-1.1484,-1.7173,-1.9965,-0.9081,-0.6431,-2.6078,-1.3993,-1.1625
trneg2840.txt_non-allergen_18454,-0.7309,-1.0623,-0.898,-1.0737,-1.9858,-0.7592,-0.5949,-1.6997,-1.3513,-0.9858,-0.9377,-0.6317,-0.6997,-1.6346,-1.7082,-0.5779,-0.6856,-2.5439,-1.3711,-0.7705
trneg2840.txt_non-allergen_17268,-0.5495,-1.1309,-0.9452,-1.3805,-1.7778,-0.5479,-0.93,-1.5753,-1.2648,-1.1872,-1.0609,-1.0152,-0.9726,-1.5571,-1.067,-0.3014,-0.2877,-2.4749,-1.3942,-0.8311
trneg2840.txt_non-allergen_31169,-1.1701,-0.8503,-1.4558,-2.0476,-3.4558,-1.1224,-1.3537,-2.6054,-1.6599,-1.585,-1.8571,-0.4626,-1.3197,-2.381,-2.1633,-1.3741,-1.1701,-3.415,-1.9388,-1.3537
trneg2840.txt_non-allergen_24756,-1.2594,-1.4062,-1.0656,-1.4094,-2.7906,-0.9906,-1.1375,-1.9,-1.7844,-1.5156,-1.5156,-0.7875,-1.3,-1.6375,-1.8,-0.9688,-0.8406,-2.6688,-1.45,-1.3469
trneg2840.txt_non-allergen_40514,-0.4258,-1.0645,-0.8065,-1.2129,-1.7677,-0.6839,-0.8323,-1.4968,-1.3935,-1.0065,-0.8903,-0.5613,-0.5677,-1.2645,-1.6903,-0.2387,-0.3742,-2.1548,-1.0903,-0.7419
trneg2840.txt_non-allergen_423,-0.3552,-1.1155,-0.6554,-0.9876,-1.8437,-0.6341,-0.6288,-1.2398,-1.2451,-1.302,-1.3339,-0.7069,-0.8526,-1.7016,-1.1474,-0.1794,-0.3464,-2.3712,-1.341,-0.8668
trneg2840.txt_non-allergen_4993,-0.6667,-1.0712,-0.9838,-1.466,-2.0129,-0.6052,-0.7282,-1.5761,-1.1424,-1.123,-1.0841,-0.754,-0.6343,-1.3689,-1.4239,-0.6278,-0.7087,-2.0971,-1.0162,-0.7864
trneg2840.txt_non-allergen_7714,-0.8841,-1.2246,-0.6884,-1.2101,-2.6304,-0.8768,-0.8043,-1.913,-1.0217,-1.8623,-1.8406,-1.1087,-1.529,-1.8551,-1.8551,-0.3116,-0.5652,-2.3188,-1.1232,-1.7464
trneg2840.txt_non-allergen_12408,-0.6113,-1.0451,-0.938,-1.1606,-2.4873,-0.4423,-0.3746,-1.7099,-1.4507,-1.3746,-1.3775,-0.3521,-1.2732,-2.0479,-1.0507,-0.4113,-0.6338,-2.8676,-1.8394,-1.0338
trneg2840.txt_non-allergen_22941,-0.4491,-0.8563,-0.9162,-1.2216,-1.9281,-0.4251,-0.5509,-1.2275,-1.1796,-1.3533,-1.4251,-0.6886,-1,-1.5808,-1.6527,-0.1976,-0.4611,-2.503,-1.3174,-1.1317
trneg2840.txt_non-allergen_33849,-1.0676,-1.2271,-1.401,-1.5266,-2,-0.9227,-1.0483,-2.3527,-1.7246,-1.1063,-1.0773,-0.744,-1.0821,-1.5556,-2.5314,-0.8068,-0.9082,-3.0966,-1.7101,-0.971
trneg2840.txt_non-allergen_34484,-0.9071,-1.0265,-1.2124,-1.3761,-1.7611,-0.7257,-0.9336,-2.1106,-1.5531,-1.2478,-1.4513,-0.8363,-1.2965,-2.2699,-1.9602,-0.6726,-0.7743,-3.3186,-2.0088,-1.0929
trneg2840.txt_non-allergen_15225,-0.4286,-0.7971,-0.6066,-1.029,-1.9855,-0.381,-0.5549,-1.3996,-1.2588,-1.6605,-1.4845,-0.5487,-1.0104,-1.971,-1.1656,0.0269,-0.4658,-2.5404,-1.7164,-1.1822
trneg2840.txt_non-allergen_16610,-0.7436,-1.1333,-1.3453,-1.6957,-2.2222,-1.1368,-1.3214,-1.9316,-1.6274,-1.1179,-0.9179,-0.9675,-0.8581,-1.3744,-1.788,-0.7162,-0.7846,-2.6342,-1.3692,-0.8479
trneg2840.txt_non-allergen_12622,-0.8224,-1.0193,-1.0219,-1.121,-1.1763,-0.9305,-1.1596,-1.4994,-0.8674,-1.2162,-1.1094,-0.7529,-1.1326,-1.4208,-2.1557,-0.1712,-0.4607,-2.1223,-1.3166,-0.9331
trneg2840.txt_non-allergen_16801,0.1379,-1.142,-1.1317,-1.5802,-3.2757,0.463,-1.1111,-0.3745,-1.4897,-2.1646,-1.9444,-0.9815,-1.1914,-2.3621,1.3004,0.0782,-0.3539,-3.3807,-1.2881,-1.3086
trneg2840.txt_non-allergen_4601,-0.4329,-1.026,-0.4892,-0.8312,-2.1753,-0.526,-0.5974,-1.4242,-1.5022,-1.5476,-1.5909,-0.6602,-1.1797,-2.1169,-1.0216,0.2446,-0.0173,-2.8658,-1.803,-1.1623
trneg2840.txt_non-allergen_30007,-0.8868,-1.2711,-0.9763,-1.3474,-2.4632,-1.0132,-0.9,-1.9053,-1.4605,-0.9211,-1.15,-0.7947,-0.9263,-1.7474,-1.9079,-0.8105,-0.7368,-2.9632,-1.6132,-1.0132
trneg2840.txt_non-allergen_10889,-0.5071,-1.2524,-1.2262,-1.4262,-2.1143,-1.2476,-1.169,-1.3762,-1.5476,-1.0119,-1.2881,-1.0381,-1.1286,-1.8429,-2.1476,-0.931,-0.8762,-2.8905,-1.5929,-0.8738
trneg2840.txt_non-allergen_12333,-0.2762,-0.6569,-0.9289,-1.1339,-1.8996,-0.4686,-0.4644,-1.4435,-1.1423,-1.205,-1.1381,-0.6653,-0.7029,-1.6946,-1.4812,-0.3347,-0.5607,-2.5356,-1.3682,-0.887
trneg2840.txt_non-allergen_33464,-0.5886,-0.4629,-1.4514,-1.3657,-2.6686,-1.0514,-0.6571,-2.3371,-1.52,-0.8229,-0.8571,-0.9486,-1.1429,-2.12,-2.44,-1.2743,-1.1314,-3.1543,-2.0114,-0.8286
trneg2840.txt_non-allergen_30069,-0.8708,-0.9438,-1.0618,-1.0955,-2.0562,-0.7416,-0.7921,-1.5955,-1.1798,-1.3258,-1.1854,-0.7079,-0.927,-1.4888,-1.4438,-0.736,-0.7135,-2.073,-1.1236,-1.0281
trneg2840.txt_non-allergen_20145,-1.0355,1.3299,-0.934,-0.9898,-2.8122,-0.4416,-0.4619,-1.6954,-0.6548,-2.5635,-2.2792,-0.2081,-1.8985,-2.3046,-0.4416,0.3299,-0.9543,-2.6954,-1.0508,-2.2487
trneg2840.txt_non-allergen_15432,-0.7445,-1.0757,-1.1262,-1.4543,-2.1009,-0.8927,-0.8644,-1.6814,-1.4164,-1.3312,-1.4984,-0.8612,-1.1073,-1.836,-1.4322,-0.6057,-0.7129,-2.4227,-1.429,-1.1609
trneg2840.txt_non-allergen_24727,-0.5545,-0.6083,-0.4778,-0.9973,-2.1602,-0.3001,-0.4038,-1.2342,-1.1131,-1.6487,-1.5949,-0.3674,-1.0929,-1.9744,-1.1252,-0.1844,-0.4913,-2.568,-1.5249,-1.3392
trneg2840.txt_non-allergen_25779,-0.5097,-0.8484,-1.0387,-1.1097,-2.0129,-0.6677,-0.5774,-1.5903,-1.2935,-1.8258,-1.5548,-0.3,-1.3387,-2.2032,-1.4032,-0.2806,-0.5903,-3.0323,-1.8129,-1.4097
trneg2840.txt_non-allergen_23859,-0.7859,-1.607,-1.4526,-1.6098,-2.3089,-1.3144,-1.2276,-1.7209,-1.2927,-1.4797,-1.3388,-1.4905,-1.252,-1.7046,-2.1762,-0.9268,-1.1003,-2.878,-1.3415,-1.2656
trneg2840.txt_non-allergen_4156,-0.4053,-1.2961,-1.7063,-1.8859,-2.5049,-1.0898,-1.3762,-1.6675,-1.5583,-1.432,-1.2937,-1.3786,-0.8301,-1.8859,-2.267,-0.9466,-0.8277,-2.7864,-1.784,-1.3398
trneg2840.txt_non-allergen_13762,-0.1366,-1.0352,-1.4009,-1.2115,-2.6652,-1.0352,-0.815,-1.7225,-1.3612,-1.3789,-1.0925,-1.0705,-1.1542,-1.63,-1.7577,-0.8987,-0.8238,-2.6211,-1.4185,-0.8722
trneg2840.txt_non-allergen_13878,-0.4795,-0.8707,-0.5647,-0.918,-2.2808,-0.1073,-0.5584,-1.265,-0.5016,-2.0536,-1.9054,-0.5899,-1.2871,-1.9621,-0.1987,-0.1199,-0.5804,-2.3438,-1.1514,-1.5363
trneg2840.txt_non-allergen_13670,-0.5399,-0.9881,-1.2253,-1.292,-2.056,-0.5495,-0.7211,-1.9023,-1.4064,-1.1228,-1.0405,-0.6865,-0.826,-1.6019,-1.8653,-0.528,-0.7306,-2.3731,-1.3099,-0.8999
trneg2840.txt_non-allergen_247,-0.1707,-1.1574,-1.4812,-1.3747,-2.0931,-0.8869,-0.98,-1.5787,-1.2772,-1.0288,-0.969,-1.2062,-1.1264,-1.9645,-1.7871,-0.8226,-0.8004,-3.031,-1.8647,-0.6807
trneg2840.txt_non-allergen_33997,-0.6807,-0.2773,-0.9244,-1.0672,-2.2773,0.1597,-0.084,-2.0588,-1.1345,-1.3277,-1.1681,-0.2605,-0.5798,-1.8992,-1.0672,-0.5042,-0.3025,-2.6303,-1.4874,-0.9412
trneg2840.txt_non-allergen_6768,-0.518,-1.4745,-1.6696,-2.0199,-2.0447,-1.3503,-1.5056,-1.4571,-1.8671,-0.8522,-0.6634,-1.3963,-0.8236,-1.2559,-1.7441,-0.6348,-0.7193,-2.3602,-1.4807,-0.6783
trneg2840.txt_non-allergen_23949,-0.7291,-1.1874,-0.9797,-1.2415,-2.4966,-1.009,-0.7901,-1.1512,-1.7065,-1.1512,-1.3363,-0.8014,-1.14,-1.7765,-2.0203,-0.4086,-0.6591,-2.7652,-1.4515,-1.0384
trneg2840.txt_non-allergen_31726,-0.885,-1.52,-1.235,-1.465,-2.275,-1.41,-1.155,-1.67,-1.075,-1.02,-1.4,-1.225,-1.195,-1.425,-1.92,-1.12,-1.08,-3.025,-1.35,-0.75
